stage_id	tool_id	decision_mode	correctness_signal	result_ids	report_row_ids	corpus_ids	report_sections	row_statuses	score_status	truth_correctness_score	truth_correctness_basis	contract_correctness_score	contract_correctness_basis	genotype_truth_metric_value	genotype_truth_metric_basis	missingness_metric_value	missingness_metric_basis	phasing_imputation_metric_value	phasing_imputation_metric_basis	population_metric_value	population_metric_basis	scientific_metric_ids	scientific_metric_summary	runtime_seconds	runtime_source	observed_memory_mb	declared_memory_mb	memory_source	failure_class	micro_execution_status	score_weight_coverage	score_total	evidence_paths	reason
vcf.admixture	plink2	single_tool_acceptance	scientific_comparable_metrics	vcf:vcf_production_regression:vcf.admixture:vcf_cohort:plink2	vcf:vcf_production_regression:vcf.admixture:vcf_cohort:plink2	vcf_production_regression	population_structure	present	scored	1.000000	selected_k_over_population_count	0.000000	admixture smoke report preserved governed selected_k and cluster outputs							2.000000	population_count	population_count,sample_count,selected_k	selected_k=2; sample_count=4; population_count=2; status=complete	0.027427	local_smoke_report			not_available	none		0.900000	1.000000	/Users/bijan/bijux/bijux-genomics/runs/bench/local-smoke/vcf.admixture/plink2/admixture.json	scored from 1 real evidence surface(s); runtime and memory ranking remain unavailable for this binding
vcf.call	bcftools	single_tool_acceptance	output_contract	vcf:vcf_production_regression:vcf.call:bam_bundle:bcftools	vcf:vcf_production_regression:vcf.call:bam_bundle:bcftools	vcf_production_regression	variant_calling	present	scored			1.000000	VCF call smoke preserved governed output payloads and call counts	3.000000	variant_count								sample_count=1; variant_count=3		not_available		4096.000000	declared_stage_tool_resource	none	succeeded	0.850000	1.000000	/Users/bijan/bijux/bijux-genomics/runs/bench/local-smoke/vcf.call/bcftools/metrics.json	scored from 1 real evidence surface(s) with micro execution status `succeeded` and memory source `declared_stage_tool_resource`
vcf.call_diploid	bcftools	single_tool_acceptance	output_contract	vcf:vcf_production_regression:vcf.call_diploid:bam_bundle:bcftools	vcf:vcf_production_regression:vcf.call_diploid:bam_bundle:bcftools	vcf_production_regression	variant_calling	present	scored			1.000000	VCF call smoke preserved governed output payloads and call counts	3.000000	called_genotypes								sample_count=1; called_genotypes=3		not_available			not_available	none		0.750000	1.000000	/Users/bijan/bijux/bijux-genomics/runs/bench/local-smoke/vcf.call_diploid/bcftools/metrics.json	scored from 1 real evidence surface(s); runtime and memory ranking remain unavailable for this binding
vcf.call_gl	bcftools	single_tool_acceptance	scientific_comparable_metrics	vcf:vcf_production_regression:vcf.call_gl:bam_bundle:bcftools	vcf:vcf_production_regression:vcf.call_gl:bam_bundle:bcftools	vcf_production_regression	variant_calling	present	scored	1.000000	likelihood_site_fraction	1.000000	genotype-likelihood smoke preserved governed likelihood fields	12.000000	sites_with_likelihoods							missing_likelihoods,sites_with_likelihoods	sample_count=1; samples_with_likelihoods=1; missing_likelihoods=0; likelihood_field=PL		not_applicable			not_applicable	none	unavailable	0.750000	1.000000	/Users/bijan/bijux/bijux-genomics/runs/bench/local-smoke/vcf.call_gl/bcftools/metrics.json	scored from 1 real evidence surface(s) with micro execution status `unavailable` and memory source `not_applicable`
vcf.call_pseudohaploid	bcftools	single_tool_acceptance	scientific_comparable_metrics	vcf:vcf_production_regression:vcf.call_pseudohaploid:bam_bundle:bcftools	vcf:vcf_production_regression:vcf.call_pseudohaploid:bam_bundle:bcftools	vcf_production_regression	variant_calling	present	scored	1.000000	called_site_fraction	1.000000	pseudohaploid smoke preserved governed deterministic replay and site counts	3.000000	called_sites							called_sites,missing_sites	covered_sites=3; missing_sites=0; sample_count=1		not_available		4096.000000	declared_stage_tool_resource	none	succeeded	0.850000	1.000000	/Users/bijan/bijux/bijux-genomics/runs/bench/local-smoke/vcf.call_pseudohaploid/bcftools/metrics.json	scored from 1 real evidence surface(s) with micro execution status `succeeded` and memory source `declared_stage_tool_resource`
vcf.damage_filter	bcftools	single_tool_acceptance	scientific_comparable_metrics	vcf:vcf_production_regression:vcf.damage_filter:vcf_single_sample:bcftools	vcf:vcf_production_regression:vcf.damage_filter:vcf_single_sample:bcftools	vcf_production_regression	damage_aware_filtering	present	scored	0.500000	retained_variant_fraction	1.000000	damage filter smoke preserved governed damage-aware variant filtering outputs	2.000000	retained_variants							removed_variants,retained_variants,terminal_damage_filtered_variants	removed_variants=2; retained_variants=2; terminal_damage_filtered_variants=1		not_available		4096.000000	declared_stage_tool_resource	none	succeeded	0.850000	0.647059	/Users/bijan/bijux/bijux-genomics/runs/bench/local-smoke/vcf.damage_filter/bcftools/metrics.json	scored from 1 real evidence surface(s) with micro execution status `succeeded` and memory source `declared_stage_tool_resource`
vcf.filter	bcftools	single_tool_acceptance	output_contract	vcf:vcf_production_regression:vcf.filter:vcf_single_sample:bcftools	vcf:vcf_production_regression:vcf.filter:vcf_single_sample:bcftools	vcf_production_regression	quality_control	present	scored			1.000000	VCF filter smoke preserved governed pass and failed variant counts										pass_variants=1; failed_variants=4; quality_threshold=30.000000; depth_threshold=8.000000		not_available		4096.000000	declared_stage_tool_resource	none	succeeded	0.850000	1.000000	/Users/bijan/bijux/bijux-genomics/runs/bench/local-smoke/vcf.filter/bcftools/metrics.json	scored from 1 real evidence surface(s) with micro execution status `succeeded` and memory source `declared_stage_tool_resource`
vcf.gl_propagation	bcftools	single_tool_acceptance	scientific_comparable_metrics	vcf:vcf_production_regression:vcf.gl_propagation:vcf_single_sample:bcftools	vcf:vcf_production_regression:vcf.gl_propagation:vcf_single_sample:bcftools	vcf_production_regression	likelihood_postprocess	present	scored	1.000000	retained_site_fraction	1.000000	genotype-likelihood propagation preserved governed sample and site surfaces	3.000000	site_count_after							sample_count,site_count_after,site_count_before	sample_count=1; site_count_before=3; site_count_after=3; output_likelihood_fields=GL,GP,PL		not_applicable			not_applicable	none	unavailable	0.750000	1.000000	/Users/bijan/bijux/bijux-genomics/runs/bench/local-smoke/vcf.gl_propagation/bcftools/metrics.json	scored from 1 real evidence surface(s) with micro execution status `unavailable` and memory source `not_applicable`
vcf.imputation_metrics	beagle	single_tool_acceptance	scientific_comparable_metrics	vcf:vcf_production_regression:vcf.imputation_metrics:vcf_cohort_with_panel:beagle	vcf:vcf_production_regression:vcf.imputation_metrics:vcf_cohort_with_panel:beagle	vcf_production_regression	imputation	present	scored	1.000000	concordance	1.000000	imputation metrics smoke preserved governed concordance and dosage quality outputs					0.775000	dosage_r2			concordance,dosage_r2,low_confidence_sites,masked_truth_sites,mean_info_score	concordance=1.000000; dosage_r2=0.775000; mean_info_score=0.825000; low_confidence_sites=1; masked_truth_sites=1	0.000000	local_smoke_report			not_available	none		0.900000	1.000000	/Users/bijan/bijux/bijux-genomics/runs/bench/local-smoke/vcf.imputation_metrics/beagle/imputation_metrics.json	scored from 1 real evidence surface(s); runtime and memory ranking remain unavailable for this binding
vcf.impute	beagle	single_tool_acceptance	scientific_comparable_metrics	vcf:vcf_production_regression:vcf.impute:vcf_cohort_with_panel:beagle	vcf:vcf_production_regression:vcf.impute:vcf_cohort_with_panel:beagle	vcf_production_regression	imputation	present	scored	1.000000	masked_truth_match_fraction	1.000000	imputation smoke preserved governed masked-truth and completion outputs	1.000000	imputed_genotypes			1.000000	masked_truth_match_fraction			imputed_genotypes,low_confidence_count,masked_truth_match_count,missing_after,missing_before,unresolved_count	missing_before=1; missing_after=0; low_confidence_count=1; unresolved_count=0		not_available		16384.000000	declared_stage_tool_resource	none	succeeded	0.850000	1.000000	/Users/bijan/bijux/bijux-genomics/runs/bench/local-smoke/vcf.impute/beagle/metrics.json	scored from 1 real evidence surface(s) with micro execution status `succeeded` and memory source `declared_stage_tool_resource`
