tool_id	stage_id	blocker	release_action	closure_effect	evidence_locator	status
bayeshammer	fastq.correct_errors	pending_container_digest	build_and_publish_immutable_ghcr_or_registry_digest	cannot_be_world_class_closed	science/generated/current/evidence/fastq_default_binding_risk_ledger.tsv	tracked
centrifuge	fastq.screen_taxonomy	pending_container_digest	build_and_publish_immutable_ghcr_or_registry_digest	cannot_be_world_class_closed	science/generated/current/evidence/fastq_default_binding_risk_ledger.tsv	tracked
clumpify	fastq.remove_duplicates	pending_container_digest	build_and_publish_immutable_ghcr_or_registry_digest	cannot_be_world_class_closed	science/generated/current/evidence/fastq_default_binding_risk_ledger.tsv	tracked
fastuniq	fastq.remove_duplicates	pending_container_digest	build_and_publish_immutable_ghcr_or_registry_digest	cannot_be_world_class_closed	science/generated/current/evidence/fastq_default_binding_risk_ledger.tsv	tracked
kaiju	fastq.screen_taxonomy	pending_container_digest	build_and_publish_immutable_ghcr_or_registry_digest	cannot_be_world_class_closed	science/generated/current/evidence/fastq_default_binding_risk_ledger.tsv	tracked
kraken2	fastq.screen_taxonomy	pending_container_digest	build_and_publish_immutable_ghcr_or_registry_digest	cannot_be_world_class_closed	science/generated/current/evidence/fastq_default_binding_risk_ledger.tsv	tracked
lighter	fastq.correct_errors	pending_container_digest	build_and_publish_immutable_ghcr_or_registry_digest	cannot_be_world_class_closed	science/generated/current/evidence/fastq_default_binding_risk_ledger.tsv	tracked
musket	fastq.correct_errors	pending_container_digest	build_and_publish_immutable_ghcr_or_registry_digest	cannot_be_world_class_closed	science/generated/current/evidence/fastq_default_binding_risk_ledger.tsv	tracked
rcorrector	fastq.correct_errors	pending_container_digest	build_and_publish_immutable_ghcr_or_registry_digest	cannot_be_world_class_closed	science/generated/current/evidence/fastq_default_binding_risk_ledger.tsv	tracked
umi_tools	fastq.extract_umis	pending_container_digest	build_and_publish_immutable_ghcr_or_registry_digest	cannot_be_world_class_closed	science/generated/current/evidence/fastq_default_binding_risk_ledger.tsv	tracked
