stage_id	stage_status	asset_hook	producer_stages	readiness
fastq.build_contaminant_db	planned	contaminant_database_lock	external_or_unproduced	needs_asset_authority
fastq.build_rrna_db	planned	rrna_database_lock	external_or_unproduced	needs_asset_authority
fastq.build_taxonomy_db	planned	taxonomy_database_lock	external_or_unproduced	needs_asset_authority
fastq.capture_provenance_snapshot	planned	provenance_registry	external_or_unproduced	needs_asset_authority
fastq.demultiplex_reads	planned	barcode_kit_bank	external_or_unproduced	needs_asset_authority
fastq.deplete_host	supported	reference_bank	external_or_unproduced	needs_asset_authority
fastq.deplete_reference_contaminants	supported	contaminant_db_bank	external_or_unproduced	needs_asset_authority
fastq.deplete_rrna	supported	rrna_database_lock	external_or_unproduced	needs_asset_authority
fastq.detect_adapters	supported	adapter_bank	fastq.prepare_adapter_bank	tracked
fastq.detect_instrument_artifacts	planned	instrument_artifact_bank	external_or_unproduced	needs_asset_authority
fastq.filter_reads	supported	contaminant_db_bank	external_or_unproduced	needs_asset_authority
fastq.index_reference	supported	reference_bank	external_or_unproduced	needs_asset_authority
fastq.normalize_primers	supported	primer_bank	fastq.prepare_primer_bank	tracked
fastq.prepare_adapter_bank	planned	adapter_bank	fastq.prepare_adapter_bank	tracked
fastq.prepare_host_reference_bundle	planned	reference_bank	external_or_unproduced	needs_asset_authority
fastq.prepare_primer_bank	planned	primer_bank	fastq.prepare_primer_bank	tracked
fastq.screen_taxonomy	supported	taxonomy_database_lock	external_or_unproduced	needs_asset_authority
fastq.trim_polyg_tails	supported	polyx_bank	external_or_unproduced	needs_asset_authority
fastq.trim_reads	supported	adapter_bank	fastq.prepare_adapter_bank	tracked
fastq.trim_reads	supported	polyx_bank	external_or_unproduced	needs_asset_authority
fastq.trim_reads	supported	contaminant_db_bank	external_or_unproduced	needs_asset_authority
fastq.trim_terminal_damage	supported	adapter_bank	fastq.prepare_adapter_bank	tracked
fastq.verify_assets	planned	asset_lock_registry	external_or_unproduced	needs_asset_authority
