paper_id	tool_id	paper_root	paper_status	open_access_status	primary_locator	supporting_locators	notes
paper.fastq.fastp.chen-2018	fastp	science-docs/upstream/papers/paper.fastq.fastp.chen-2018	mapped	open_access_pmc	https://pmc.ncbi.nlm.nih.gov/articles/PMC6129281/	https://pubmed.ncbi.nlm.nih.gov/30423086/	Main fastp methods paper; open-access PMC copy can be archived locally.
paper.fastq.fastqc.selection-pending	fastqc	science-docs/upstream/papers/paper.fastq.fastqc.selection-pending	pending_selection	unknown		https://www.bioinformatics.babraham.ac.uk/projects/fastqc/	FastQC is widely cited through its project page; add the canonical publication or software citation here when finalized.
paper.fastq.seqkit.shen-2016	seqkit	science-docs/upstream/papers/paper.fastq.seqkit.shen-2016	mapped	open_access_pmc	https://pmc.ncbi.nlm.nih.gov/articles/PMC5051824/	https://pubmed.ncbi.nlm.nih.gov/27706213/	Main SeqKit paper; open-access PMC copy can be archived locally.
paper.fastq.seqfu.telatin-2021	seqfu	science-docs/upstream/papers/paper.fastq.seqfu.telatin-2021	mapped	open_access_pmc	https://pmc.ncbi.nlm.nih.gov/articles/PMC8148589/	https://pubmed.ncbi.nlm.nih.gov/34066939/	Main SeqFu paper; open-access PMC copy can be archived locally.
paper.fastq.diamond.buchfink-2015	diamond	science-docs/upstream/papers/paper.fastq.diamond.buchfink-2015	mapped	licensed_or_abstract_only	https://pubmed.ncbi.nlm.nih.gov/25402007/		Main DIAMOND methods paper; archive the publisher PDF locally when licensed access is available.
paper.fastq.dada2.callahan-2016	dada2	science-docs/upstream/papers/paper.fastq.dada2.callahan-2016	mapped	licensed_or_abstract_only	https://www.nature.com/articles/nmeth.3869	https://pubmed.ncbi.nlm.nih.gov/27214047/	Main DADA2 methods paper; use the Nature article when licensed access is available.
paper.fastq.fastuniq.xu-2012	fastuniq	science-docs/upstream/papers/paper.fastq.fastuniq.xu-2012	mapped	open_access_pmc	https://pmc.ncbi.nlm.nih.gov/articles/PMC3527383/	https://sourceforge.net/projects/fastuniq/	Main FastUniq paper; open-access PMC copy can be archived locally.
paper.fastq.seqpurge.stenzel-2016	seqpurge	science-docs/upstream/papers/paper.fastq.seqpurge.stenzel-2016	mapped	open_access_pmc	https://pmc.ncbi.nlm.nih.gov/articles/PMC4862148/	https://github.com/imgag/ngs-bits	Main SeqPurge paper; keep it paired with the ngs-bits source tree used for the implementation.
paper.fastq.dustmasker.selection-pending	dustmasker	science-docs/upstream/papers/paper.fastq.dustmasker.selection-pending	pending_selection	open_access_candidate	https://pmc.ncbi.nlm.nih.gov/articles/PMC3242753/	https://www.ncbi.nlm.nih.gov/IEB/ToolBox/CPP_DOC/lxr/source/src/app/dustmasker/	Current candidate is a low-complexity masking paper, but the canonical dustmasker publication still needs explicit confirmation.
paper.fastq.atropos.didion-2017	atropos	science-docs/upstream/papers/paper.fastq.atropos.didion-2017	mapped	open_access_pmc	https://pmc.ncbi.nlm.nih.gov/articles/PMC5581536/	https://pubmed.ncbi.nlm.nih.gov/28875074/	Main Atropos paper; open-access PMC copy can be archived locally.
