tool_id	stage_ids	tool_status	primary_locator	citation_status	upstream_identity_status	science_review_status	closure_status	blocking_reason	owner	last_verified_utc
addeam	bam.damage	supported	https://github.com/LouisPwr/AdDeam	governed_citation_present	ready	current_surface_documented	informational	none	bijux-science	2026-04-28
angsd	bam.sex;bam.kinship	supported	https://github.com/ANGSD/angsd	governed_citation_present	ready	current_surface_documented	informational	none	bijux-science	2026-04-28
authenticct	bam.authenticity	supported	https://github.com/StephanePeyregne/AuthentiCT	governed_citation_present	ready	current_surface_documented	informational	none	bijux-science	2026-04-28
bamtools	bam.validate;bam.filter;bam.mapq_filter	supported	https://github.com/pezmaster31/bamtools	governed_citation_present	ready	current_surface_documented	informational	none	bijux-science	2026-04-28
bamutil	bam.overlap_correction	planned	https://github.com/statgen/bamUtil	pending_primary_source_verification	ready	promotion_contract_missing	blocked	citation_pending:tool-publication;promotion_status:planned	bijux-science	2026-04-27
bedtools	bam.validate;bam.filter	supported	https://github.com/arq5x/bedtools2	governed_citation_present	ready	current_surface_documented	informational	none	bijux-science	2026-04-28
bowtie2	bam.align	supported	https://github.com/BenLangmead/bowtie2	governed_citation_present	ready	current_surface_documented	informational	none	bijux-science	2026-04-28
bwa	bam.align	supported	https://github.com/lh3/bwa	governed_citation_present	ready	current_surface_documented	informational	none	bijux-science	2026-04-28
contammix	bam.contamination	supported	https://bioconductor.org/packages/contamMix	pending_primary_source_verification	evidence_class_unresolved	release_review_blocked	blocked	citation_pending:tool-publication;upstream_identity:evidence_class_unresolved	bijux-science	2026-04-27
damageprofiler	bam.damage;bam.authenticity	supported	https://github.com/Integrative-Transcriptomics/DamageProfiler	governed_citation_present	ready	current_surface_documented	informational	none	bijux-science	2026-04-28
gatk	bam.recalibration	supported	https://github.com/broadinstitute/gatk	governed_citation_present	ready	current_surface_documented	informational	none	bijux-science	2026-06-05
king	bam.kinship	supported	https://www.kingrelatedness.com/	governed_citation_present	ready	current_surface_documented	informational	none	bijux-science	2026-04-28
mapdamage2	bam.damage	supported	https://github.com/ginolhac/mapDamage	governed_citation_present	ready	current_surface_documented	informational	none	bijux-science	2026-04-28
mosdepth	bam.coverage	supported	https://github.com/brentp/mosdepth	governed_citation_present	ready	current_surface_documented	informational	none	bijux-science	2026-04-28
ngsbriggs	bam.damage	planned	https://github.com/RAHenriksen/ngsBriggs	governed_citation_present	ready	promotion_contract_missing	blocked	promotion_status:planned;runtime_contract_unverified	bijux-science	2026-04-28
picard	bam.markdup;bam.length_filter;bam.duplication_metrics;bam.insert_size;bam.gc_bias	planned	https://github.com/broadinstitute/picard	governed_citation_present	ready	promotion_contract_missing	blocked	promotion_status:planned;citation_class:software_docs	bijux-science	2026-04-28
pmdtools	bam.damage;bam.authenticity	supported	https://github.com/pontussk/PMDtools	governed_citation_present	ready	release_review_blocked	blocked	runtime_contract_unverified	bijux-science	2026-04-28
preseq	bam.complexity	planned	https://github.com/smithlabcode/preseq	governed_citation_present	ready	promotion_contract_missing	blocked	promotion_status:planned	bijux-science	2026-04-28
pydamage	bam.damage	supported	https://github.com/maxibor/pydamage	governed_citation_present	ready	current_surface_documented	informational	none	bijux-science	2026-04-28
rxy	bam.sex	supported	https://github.com/bijux/bijux-genomics	pending_primary_source_verification	placeholder_local_repo	release_review_blocked	blocked	citation_pending:tool-publication;upstream_identity:placeholder_local_repo	bijux-science	2026-04-27
samtools	bam.validate;bam.qc_pre;bam.mapping_summary;bam.filter;bam.mapq_filter;bam.length_filter;bam.markdup;bam.duplication_metrics;bam.coverage;bam.endogenous_content	supported	https://github.com/samtools/samtools	governed_citation_present	ready	current_surface_documented	informational	none	bijux-science	2026-04-28
schmutzi	bam.contamination	supported	https://github.com/grenaud/schmutzi	governed_citation_present	ready	current_surface_documented	informational	none	bijux-science	2026-04-28
verifybamid2	bam.contamination	supported	https://github.com/Griffan/VerifyBamID	governed_citation_present	ready	current_surface_documented	informational	none	bijux-science	2026-04-28
yleaf	bam.sex;bam.haplogroups	supported	https://github.com/genid/Yleaf	governed_citation_present	ready	current_surface_documented	informational	none	bijux-science	2026-04-28
