stage_id	execution_status	default_tool	closure_status	digest_class	evidence_readiness	license_status	package_status	planner_status	lock_blockers	proof_blockers	asset_blockers	blockers
fastq.index_reference	closed	bowtie2_build	blocked	tag_only	ready	spdx_noassertion;upstream_license_id_noassertion	ready	digest_missing	resolved_image_digest:missing;image_size_bytes:missing;resolved_sif_sha256:missing;frontend_resolved_sif_sha256:missing;source_sha256:missing;pinned_commit:placeholder_zero;frontend_smoke_version_output_sha256:missing	docker_cyclonedx_sbom;docker_spdx_sbom;apptainer_sbom;smoke_manifest	reference_bank	digest_tag_only;license:spdx_noassertion;upstream_license_id_noassertion;planner:digest_missing;lock:resolved_image_digest:missing;lock:image_size_bytes:missing;lock:resolved_sif_sha256:missing;lock:frontend_resolved_sif_sha256:missing;lock:source_sha256:missing;lock:pinned_commit:placeholder_zero;lock:frontend_smoke_version_output_sha256:missing;proof:docker_cyclonedx_sbom;proof:docker_spdx_sbom;proof:apptainer_sbom;proof:smoke_manifest;asset:reference_bank
fastq.validate_reads	closed	fastqvalidator	blocked	immutable	ready	spdx_noassertion;upstream_license_id_noassertion	ready	digest_missing	resolved_image_digest:missing;image_size_bytes:missing;resolved_sif_sha256:missing;frontend_resolved_sif_sha256:missing;source_sha256:missing;pinned_commit:placeholder_zero;frontend_smoke_version_output_sha256:missing	docker_cyclonedx_sbom;docker_spdx_sbom;apptainer_sbom;smoke_manifest		license:spdx_noassertion;upstream_license_id_noassertion;planner:digest_missing;lock:resolved_image_digest:missing;lock:image_size_bytes:missing;lock:resolved_sif_sha256:missing;lock:frontend_resolved_sif_sha256:missing;lock:source_sha256:missing;lock:pinned_commit:placeholder_zero;lock:frontend_smoke_version_output_sha256:missing;proof:docker_cyclonedx_sbom;proof:docker_spdx_sbom;proof:apptainer_sbom;proof:smoke_manifest
fastq.profile_read_lengths	closed	seqkit_stats	blocked	immutable	ready	spdx_noassertion;upstream_license_id_noassertion	ready	digest_missing	resolved_image_digest:missing;image_size_bytes:missing;resolved_sif_sha256:missing;frontend_resolved_sif_sha256:missing;source_sha256:missing;pinned_commit:placeholder_zero;frontend_smoke_version_output_sha256:missing	docker_cyclonedx_sbom;docker_spdx_sbom;apptainer_sbom;smoke_manifest		license:spdx_noassertion;upstream_license_id_noassertion;planner:digest_missing;lock:resolved_image_digest:missing;lock:image_size_bytes:missing;lock:resolved_sif_sha256:missing;lock:frontend_resolved_sif_sha256:missing;lock:source_sha256:missing;lock:pinned_commit:placeholder_zero;lock:frontend_smoke_version_output_sha256:missing;proof:docker_cyclonedx_sbom;proof:docker_spdx_sbom;proof:apptainer_sbom;proof:smoke_manifest
fastq.detect_adapters	closed	fastqc	blocked	immutable	ready	spdx_noassertion;upstream_license_id_noassertion	ready	digest_missing	resolved_image_digest:missing;image_size_bytes:missing;resolved_sif_sha256:missing;frontend_resolved_sif_sha256:missing;pinned_commit:missing;frontend_smoke_version_output_sha256:missing	docker_cyclonedx_sbom;docker_spdx_sbom;apptainer_sbom;smoke_manifest		license:spdx_noassertion;upstream_license_id_noassertion;planner:digest_missing;lock:resolved_image_digest:missing;lock:image_size_bytes:missing;lock:resolved_sif_sha256:missing;lock:frontend_resolved_sif_sha256:missing;lock:pinned_commit:missing;lock:frontend_smoke_version_output_sha256:missing;proof:docker_cyclonedx_sbom;proof:docker_spdx_sbom;proof:apptainer_sbom;proof:smoke_manifest
fastq.detect_duplicates_premerge	closed	bijux_dna	blocked	tag_only	needs_evidence	ready	domain_package_missing	missing_planner_snapshot	resolved_image_digest:missing;image_size_bytes:missing;resolved_sif_sha256:missing;frontend_resolved_sif_sha256:missing;pinned_commit:missing;frontend_smoke_version_output_sha256:missing	docker_cyclonedx_sbom;docker_spdx_sbom;apptainer_sbom;smoke_manifest		digest_tag_only;needs_evidence;package:domain_package_missing;planner:missing_planner_snapshot;lock:resolved_image_digest:missing;lock:image_size_bytes:missing;lock:resolved_sif_sha256:missing;lock:frontend_resolved_sif_sha256:missing;lock:pinned_commit:missing;lock:frontend_smoke_version_output_sha256:missing;proof:docker_cyclonedx_sbom;proof:docker_spdx_sbom;proof:apptainer_sbom;proof:smoke_manifest
fastq.trim_terminal_damage	closed	cutadapt	blocked	immutable	ready	spdx_noassertion;upstream_license_id_noassertion	ready	digest_missing	resolved_image_digest:missing;image_size_bytes:missing;resolved_sif_sha256:missing;frontend_resolved_sif_sha256:missing;source_sha256:missing;pinned_commit:placeholder_zero;frontend_smoke_version_output_sha256:missing	docker_cyclonedx_sbom;docker_spdx_sbom;apptainer_sbom;smoke_manifest		license:spdx_noassertion;upstream_license_id_noassertion;planner:digest_missing;lock:resolved_image_digest:missing;lock:image_size_bytes:missing;lock:resolved_sif_sha256:missing;lock:frontend_resolved_sif_sha256:missing;lock:source_sha256:missing;lock:pinned_commit:placeholder_zero;lock:frontend_smoke_version_output_sha256:missing;proof:docker_cyclonedx_sbom;proof:docker_spdx_sbom;proof:apptainer_sbom;proof:smoke_manifest
fastq.normalize_primers	closed	cutadapt	blocked	immutable	ready	spdx_noassertion;upstream_license_id_noassertion	ready	missing_planner_snapshot	resolved_image_digest:missing;image_size_bytes:missing;resolved_sif_sha256:missing;frontend_resolved_sif_sha256:missing;source_sha256:missing;pinned_commit:placeholder_zero;frontend_smoke_version_output_sha256:missing	docker_cyclonedx_sbom;docker_spdx_sbom;apptainer_sbom;smoke_manifest		license:spdx_noassertion;upstream_license_id_noassertion;planner:missing_planner_snapshot;lock:resolved_image_digest:missing;lock:image_size_bytes:missing;lock:resolved_sif_sha256:missing;lock:frontend_resolved_sif_sha256:missing;lock:source_sha256:missing;lock:pinned_commit:placeholder_zero;lock:frontend_smoke_version_output_sha256:missing;proof:docker_cyclonedx_sbom;proof:docker_spdx_sbom;proof:apptainer_sbom;proof:smoke_manifest
fastq.trim_polyg_tails	closed	fastp	blocked	immutable	ready	spdx_noassertion;upstream_license_id_noassertion	ready	digest_missing	resolved_image_digest:missing;image_size_bytes:missing;resolved_sif_sha256:missing;frontend_resolved_sif_sha256:missing;pinned_commit:missing;frontend_smoke_version_output_sha256:missing	docker_cyclonedx_sbom;docker_spdx_sbom;apptainer_sbom;smoke_manifest	polyx_bank	license:spdx_noassertion;upstream_license_id_noassertion;planner:digest_missing;lock:resolved_image_digest:missing;lock:image_size_bytes:missing;lock:resolved_sif_sha256:missing;lock:frontend_resolved_sif_sha256:missing;lock:pinned_commit:missing;lock:frontend_smoke_version_output_sha256:missing;proof:docker_cyclonedx_sbom;proof:docker_spdx_sbom;proof:apptainer_sbom;proof:smoke_manifest;asset:polyx_bank
fastq.trim_reads	closed	fastp	blocked	immutable	ready	spdx_noassertion;upstream_license_id_noassertion	ready	digest_missing	resolved_image_digest:missing;image_size_bytes:missing;resolved_sif_sha256:missing;frontend_resolved_sif_sha256:missing;pinned_commit:missing;frontend_smoke_version_output_sha256:missing	docker_cyclonedx_sbom;docker_spdx_sbom;apptainer_sbom;smoke_manifest	polyx_bank;contaminant_db_bank	license:spdx_noassertion;upstream_license_id_noassertion;planner:digest_missing;lock:resolved_image_digest:missing;lock:image_size_bytes:missing;lock:resolved_sif_sha256:missing;lock:frontend_resolved_sif_sha256:missing;lock:pinned_commit:missing;lock:frontend_smoke_version_output_sha256:missing;proof:docker_cyclonedx_sbom;proof:docker_spdx_sbom;proof:apptainer_sbom;proof:smoke_manifest;asset:polyx_bank;asset:contaminant_db_bank
fastq.filter_reads	closed	fastp	blocked	immutable	ready	spdx_noassertion;upstream_license_id_noassertion	ready	digest_missing	resolved_image_digest:missing;image_size_bytes:missing;resolved_sif_sha256:missing;frontend_resolved_sif_sha256:missing;pinned_commit:missing;frontend_smoke_version_output_sha256:missing	docker_cyclonedx_sbom;docker_spdx_sbom;apptainer_sbom;smoke_manifest	contaminant_db_bank	license:spdx_noassertion;upstream_license_id_noassertion;planner:digest_missing;lock:resolved_image_digest:missing;lock:image_size_bytes:missing;lock:resolved_sif_sha256:missing;lock:frontend_resolved_sif_sha256:missing;lock:pinned_commit:missing;lock:frontend_smoke_version_output_sha256:missing;proof:docker_cyclonedx_sbom;proof:docker_spdx_sbom;proof:apptainer_sbom;proof:smoke_manifest;asset:contaminant_db_bank
