stage_id	default_tool	container_ref	digest_class
fastq.index_reference	bowtie2_build	bijuxdna/bowtie2_build:2.5.4	tag_only
fastq.validate_reads	fastqvalidator	bijuxdna/fastqvalidator@sha256:3e01ccfed0313ffb63e8b9a8c4044a47249906d0b7b32c68caccf81f0a532edc	immutable
fastq.profile_read_lengths	seqkit_stats	bijuxdna/seqkit@sha256:ca3dc13e3fef5d34927c44b2d8cd2bc6708c2c256f42e51369d7b1203b0d2991	immutable
fastq.detect_adapters	fastqc	bijuxdna/fastqc@sha256:e0b83c56262486cab51020e2bb809b391ad9b38ba7a898588ab15b73586ee789	immutable
fastq.detect_duplicates_premerge	bijux_dna	bijuxdna/bijux_dna:workspace	tag_only
fastq.trim_terminal_damage	cutadapt	bijuxdna/cutadapt@sha256:4405f2effc1a195c93098408aa36268357c25b758348bfe6da8790bbe7e842ba	immutable
fastq.normalize_primers	cutadapt	bijuxdna/cutadapt@sha256:4405f2effc1a195c93098408aa36268357c25b758348bfe6da8790bbe7e842ba	immutable
fastq.trim_polyg_tails	fastp	bijuxdna/fastp@sha256:603656aa361eee1cbd1370db9412e588da91708da5542173e5ae74aab71cbc10	immutable
fastq.trim_reads	fastp	bijuxdna/fastp@sha256:603656aa361eee1cbd1370db9412e588da91708da5542173e5ae74aab71cbc10	immutable
fastq.filter_reads	fastp	bijuxdna/fastp@sha256:603656aa361eee1cbd1370db9412e588da91708da5542173e5ae74aab71cbc10	immutable
fastq.profile_reads	seqkit_stats	bijuxdna/seqkit@sha256:ca3dc13e3fef5d34927c44b2d8cd2bc6708c2c256f42e51369d7b1203b0d2991	immutable
fastq.deplete_rrna	sortmerna	bijuxdna/sortmerna@sha256:2021b21d075d06404339ec019b9729f2dfb820685c86835df654c2fb7d8b447c	immutable
fastq.merge_pairs	pear	bijuxdna/pear@sha256:4e00e9ffabc5ed46115efab5b6bae946913f1713bb314fd4acb7c379c37efae6	immutable
fastq.remove_duplicates	clumpify	bijuxdna/clumpify@sha256:fa8159777183edae8355363ba8cc5e8f8f069bee09cb6f2fb70a7ca4220a5c81	immutable
fastq.filter_low_complexity	bbduk	bijuxdna/bbduk@sha256:da5764715915a5edeb0e40e2c18a5ce7142f31dac8e4844bd2dcb463403b8bd4	immutable
fastq.deplete_host	bowtie2	bijuxdna/bowtie2:2.5.4	tag_only
fastq.deplete_reference_contaminants	bowtie2	bijuxdna/bowtie2:2.5.4	tag_only
fastq.correct_errors	rcorrector	bijuxdna/rcorrector@sha256:cfec0e32dc980f61681376e78961785c8f74804bd90ebabccb98f825e5fdb454	immutable
fastq.extract_umis	umi_tools	bijuxdna/umi_tools@sha256:b2913af8c02c1eeea5de7a4b5c120f65e2003b90479c8873f0ec37689d36296c	immutable
fastq.profile_overrepresented_sequences	fastqc	bijuxdna/fastqc@sha256:e0b83c56262486cab51020e2bb809b391ad9b38ba7a898588ab15b73586ee789	immutable
fastq.remove_chimeras	vsearch	bijuxdna/vsearch@sha256:c16ef98d6fd67ac0b8eea3ebb4f3dc6df9c582d6f838317d5f6ccc7a09e60bb3	immutable
fastq.infer_asvs	dada2	bijuxdna/dada2@sha256:930e06fb8e27965ccafae61d4161ab5e32933aea2555e68ad409ef7af43c8245	immutable
fastq.cluster_otus	vsearch	bijuxdna/vsearch@sha256:c16ef98d6fd67ac0b8eea3ebb4f3dc6df9c582d6f838317d5f6ccc7a09e60bb3	immutable
fastq.normalize_abundance	seqkit	bijuxdna/seqkit@sha256:ca3dc13e3fef5d34927c44b2d8cd2bc6708c2c256f42e51369d7b1203b0d2991	immutable
fastq.screen_taxonomy	kraken2	bijuxdna/kraken2@sha256:e493061d26aeea71812ed8b587a0e65f67617b192e225d8d53eba896dfe7cb35	immutable
fastq.report_qc	multiqc	bijuxdna/multiqc@sha256:40af0025fcc5bc4ea15e5cd2a4fd7bcfc98ea06c9ca781e6268f3c81d12787ec	immutable
fastq.estimate_library_complexity_prealign	bijux_dna	bijuxdna/bijux_dna:workspace	tag_only
