default_tool	archive_path	archive_status	paper_root	paper_status	citation	readiness
bbduk	science/docs/upstream/fastq/tools/bbduk/download	present	science/docs/upstream/papers/paper.fastq.bbduk.bbtools-software-citation	software_citation_only	software:https://bbmap.org/tools/bbduk	ready
bijux_dna	science/docs/upstream/fastq/tools/bijux_dna/repo	missing	science/docs/upstream/papers/paper.fastq.bijux-dna.software-citation	software_citation_only	software:https://github.com/bijux/bijux-genomics	needs_evidence
bowtie2	science/docs/upstream/fastq/tools/bowtie2/repo	present	science/docs/upstream/papers/paper.fastq.bowtie2.langmead-2012	mapped	paper:https://www.nature.com/articles/nmeth.1923	ready
bowtie2_build	science/docs/upstream/fastq/tools/bowtie2_build/repo	present	science/docs/upstream/papers/paper.fastq.bowtie2-build.langmead-2012	mapped	paper:https://www.nature.com/articles/nmeth.1923	ready
clumpify	science/docs/upstream/fastq/tools/clumpify/download	present	science/docs/upstream/papers/paper.fastq.clumpify.bbtools-software-citation	software_citation_only	software:https://bbmap.org/tools/clumpify	ready
cutadapt	science/docs/upstream/fastq/tools/cutadapt/repo	present	science/docs/upstream/papers/paper.fastq.cutadapt.martin-2011	mapped	paper:https://journal.embnet.org/index.php/embnetjournal/article/view/200	ready
dada2	science/docs/upstream/fastq/tools/dada2/repo	present	science/docs/upstream/papers/paper.fastq.dada2.callahan-2016	mapped	paper:https://www.nature.com/articles/nmeth.3869	ready
fastp	science/docs/upstream/fastq/tools/fastp/repo	present	science/docs/upstream/papers/paper.fastq.fastp.chen-2018	mapped	paper:https://academic.oup.com/bioinformatics/article/34/17/i884/5093234	ready
fastqc	science/docs/upstream/fastq/tools/fastqc/repo	present	science/docs/upstream/papers/paper.fastq.fastqc.software-citation	software_citation_only	software:https://www.bioinformatics.babraham.ac.uk/projects/fastqc/	ready
fastqvalidator	science/docs/upstream/fastq/tools/fastqvalidator/repo	present	science/docs/upstream/papers/paper.fastq.fastqvalidator.software-citation	software_citation_only	software:https://github.com/statgen/fastQValidator	ready
kraken2	science/docs/upstream/fastq/tools/kraken2/repo	present	science/docs/upstream/papers/paper.fastq.kraken2.wood-2019	mapped	paper:https://genomebiology.biomedcentral.com/articles/10.1186/s13059-019-1891-0	ready
multiqc	science/docs/upstream/fastq/tools/multiqc/repo	present	science/docs/upstream/papers/paper.fastq.multiqc.ewels-2016	mapped	paper:https://pmc.ncbi.nlm.nih.gov/articles/PMC5039924/	ready
pear	science/docs/upstream/fastq/tools/pear/download	present	science/docs/upstream/papers/paper.fastq.pear.zhang-2014	mapped	paper:https://pmc.ncbi.nlm.nih.gov/articles/PMC3933873/	ready
rcorrector	science/docs/upstream/fastq/tools/rcorrector/repo	present	science/docs/upstream/papers/paper.fastq.rcorrector.song-2015	mapped	paper:https://gigascience.biomedcentral.com/articles/10.1186/s13742-015-0089-y	ready
seqkit	science/docs/upstream/fastq/tools/seqkit/repo	present	science/docs/upstream/papers/paper.fastq.seqkit.shen-2016	mapped	paper:https://pmc.ncbi.nlm.nih.gov/articles/PMC5051824/	ready
seqkit_stats	science/docs/upstream/fastq/tools/seqkit_stats/repo	present	science/docs/upstream/papers/paper.fastq.seqkit-stats.shen-2016	mapped	paper:https://pmc.ncbi.nlm.nih.gov/articles/PMC5051824/	ready
sortmerna	science/docs/upstream/fastq/tools/sortmerna/repo	present	science/docs/upstream/papers/paper.fastq.sortmerna.kopylova-2012	mapped	paper:https://academic.oup.com/bioinformatics/article/28/24/3211/246053	ready
umi_tools	science/docs/upstream/fastq/tools/umi_tools/repo	present	science/docs/upstream/papers/paper.fastq.umi-tools.smith-2017	mapped	paper:https://genome.cshlp.org/content/27/3/491	ready
vsearch	science/docs/upstream/fastq/tools/vsearch/repo	present	science/docs/upstream/papers/paper.fastq.vsearch.rognes-2016	mapped	paper:https://pmc.ncbi.nlm.nih.gov/articles/PMC5075697/	ready
