default_tool	license_path	spdx	upstream_license_id	upstream_url	upstream_version	upstream_checksum	redistribution_note	license_status
bbduk	containers/licenses/bbduk.license.toml	NOASSERTION	NOASSERTION	https://sourceforge.net/projects/bbmap/	39.06	sha256:596ee3f86b7f491badd25a60e019405d5827a280df56c14c4237aa15e4e15e70	Redistribution follows upstream license obligations; verify notice/source requirements before release.	spdx_noassertion;upstream_license_id_noassertion
bijux_dna	containers/licenses/bijux_dna.license.toml	Apache-2.0	Apache-2.0	https://github.com/bijux/bijux-genomics	0.1.0	sha256:a6662f59c7283ff89d7f7c3b6aa23bcb2fda58f07fc2dd2831d85639166bc5f1	Redistribution follows upstream license obligations; verify notice/source requirements before release.	ready
bowtie2	containers/licenses/bowtie2.license.toml	NOASSERTION	NOASSERTION	https://github.com/BenLangmead/bowtie2	2.5.4	sha256:d18520808b8c89328b402bd4cd374955ca6a87dc401f97d5784bdc56bd58e70a	Redistribution follows upstream license obligations; verify notice/source requirements before release.	spdx_noassertion;upstream_license_id_noassertion
bowtie2_build	containers/licenses/bowtie2_build.license.toml	NOASSERTION	NOASSERTION	https://github.com/BenLangmead/bowtie2	2.5.4	sha256:4cd8f06ab7a68044434e81c6cd551795f02dae6c5787ac673f96cb841e709eba	Redistribution follows upstream license obligations; verify notice/source requirements before release.	spdx_noassertion;upstream_license_id_noassertion
clumpify	containers/licenses/clumpify.license.toml	NOASSERTION	NOASSERTION	https://sourceforge.net/projects/bbmap/	39.06	sha256:af7229d9de71b8f6d015b24434bec824f603049db61562aad1640108edf677cd	Redistribution follows upstream license obligations; verify notice/source requirements before release.	spdx_noassertion;upstream_license_id_noassertion
cutadapt	containers/licenses/cutadapt.license.toml	NOASSERTION	NOASSERTION	https://github.com/marcelm/cutadapt	4.9	sha256:f7615e4ce1db0a750641e503d44eac54bd49a5882d23b69740b51790ecf9e01b	Redistribution follows upstream license obligations; verify notice/source requirements before release.	spdx_noassertion;upstream_license_id_noassertion
dada2	containers/licenses/dada2.license.toml	NOASSERTION	NOASSERTION	https://bioconductor.org/packages/dada2	1.30.0	sha256:930e06fb8e27965ccafae61d4161ab5e32933aea2555e68ad409ef7af43c8245	Redistribution follows upstream license obligations; verify notice/source requirements before release.	spdx_noassertion;upstream_license_id_noassertion
fastp	containers/licenses/fastp.license.toml	NOASSERTION	NOASSERTION	https://github.com/OpenGene/fastp/archive/v${VERSION_FASTP}.tar.gz	0.23.4	sha256:4fad6db156e769d46071add8a778a13a5cb5186bc1e1a5f9b1ffd499d84d72b5	Redistribution follows upstream license obligations; verify notice/source requirements before release.	spdx_noassertion;upstream_license_id_noassertion
fastqc	containers/licenses/fastqc.license.toml	NOASSERTION	NOASSERTION	https://www.bioinformatics.babraham.ac.uk/projects/fastqc/fastqc_v${VERSION_FASTQC}.zip	0.12.1	sha256:5f4dba8780231a25a6b8e11ab2c238601920c9704caa5458d9de559575d58aa7	Redistribution follows upstream license obligations; verify notice/source requirements before release.	spdx_noassertion;upstream_license_id_noassertion
fastqvalidator	containers/licenses/fastqvalidator.license.toml	NOASSERTION	NOASSERTION	https://github.com/statgen/fastQValidator	0.1.1	sha256:d9ce089cce39f2751619477e42a95a65c4ffe91a3875407f5a5d990b4f76424a	Redistribution follows upstream license obligations; verify notice/source requirements before release.	spdx_noassertion;upstream_license_id_noassertion
kraken2	containers/licenses/kraken2.license.toml	NOASSERTION	NOASSERTION	https://github.com/DerrickWood/kraken2/archive/v${VERSION_KRAKEN2}.tar.gz	2.1.3	sha256:5269fa14adfb02e38c2da2e605e909a432d76c680d73e2e0e80e27ccd04d7c69	Redistribution follows upstream license obligations; verify notice/source requirements before release.	spdx_noassertion;upstream_license_id_noassertion
multiqc	containers/licenses/multiqc.license.toml	NOASSERTION	NOASSERTION	https://github.com/multiqc/multiqc	1.21	sha256:4e2b7aa385bc8c26eec70c46b244b5fd0da27c11a46a3ea1fd8901ff8e835809	Redistribution follows upstream license obligations; verify notice/source requirements before release.	spdx_noassertion;upstream_license_id_noassertion
pear	containers/licenses/pear.license.toml	NOASSERTION	NOASSERTION	https://cme.h-its.org/exelixis/web/software/pear/	0.9.6	sha256:e4a236ef6ec46f30a193d0b173f61dad3766b9f243ce37b21678b00678a88cf1	Redistribution follows upstream license obligations; verify notice/source requirements before release.	spdx_noassertion;upstream_license_id_noassertion
rcorrector	containers/licenses/rcorrector.license.toml	NOASSERTION	NOASSERTION	https://github.com/mourisl/Rcorrector	1.0.7	sha256:33274474f6215e3b78829a2b7f86b5a0f6f191d1da7a2da96cba67f1fb4605a8	Redistribution follows upstream license obligations; verify notice/source requirements before release.	spdx_noassertion;upstream_license_id_noassertion
seqkit	containers/licenses/seqkit.license.toml	NOASSERTION	NOASSERTION	https://github.com/shenwei356/seqkit/releases/download/v${VERSION_SEQKIT}/seqkit_linux_arm64.tar.gz	2.8.2	sha256:8c12816c0bf6c01cfcda329fdb5f6c1479cf2485ce9413ce36b96237524da9dc	Redistribution follows upstream license obligations; verify notice/source requirements before release.	spdx_noassertion;upstream_license_id_noassertion
seqkit_stats	containers/licenses/seqkit_stats.license.toml	NOASSERTION	NOASSERTION	https://github.com/shenwei356/seqkit	2.8.2	sha256:05a2a93924694dedaa2d1bd8d3f2232a746c86a01f19d990e7776b012753317e	Redistribution follows upstream license obligations; verify notice/source requirements before release.	spdx_noassertion;upstream_license_id_noassertion
