default_tool	lock_field	lock_value	field_status	version	lock_status
bbduk	resolved_image_digest		missing	39.06	production
bbduk	image_size_bytes	0	missing	39.06	production
bbduk	resolved_sif_sha256		missing	39.06	production
bbduk	frontend_resolved_sif_sha256		missing	39.06	production
bbduk	source_sha256		missing	39.06	production
bbduk	pinned_commit	0000000000000000000000000000000000000000	placeholder_zero	39.06	production
bbduk	frontend_smoke_version_output_sha256		missing	39.06	production
bijux_dna	resolved_image_digest		missing	0.1.0	production
bijux_dna	image_size_bytes	0	missing	0.1.0	production
bijux_dna	resolved_sif_sha256		missing	0.1.0	production
bijux_dna	frontend_resolved_sif_sha256		missing	0.1.0	production
bijux_dna	source_sha256	a6662f59c7283ff89d7f7c3b6aa23bcb2fda58f07fc2dd2831d85639166bc5f1	present	0.1.0	production
bijux_dna	pinned_commit		missing	0.1.0	production
bijux_dna	frontend_smoke_version_output_sha256		missing	0.1.0	production
bowtie2	resolved_image_digest		missing	2.5.4	production
bowtie2	image_size_bytes	0	missing	2.5.4	production
bowtie2	resolved_sif_sha256		missing	2.5.4	production
bowtie2	frontend_resolved_sif_sha256		missing	2.5.4	production
bowtie2	source_sha256		missing	2.5.4	production
bowtie2	pinned_commit	0000000000000000000000000000000000000000	placeholder_zero	2.5.4	production
bowtie2	frontend_smoke_version_output_sha256		missing	2.5.4	production
bowtie2_build	resolved_image_digest		missing	2.5.4	production
bowtie2_build	image_size_bytes	0	missing	2.5.4	production
bowtie2_build	resolved_sif_sha256		missing	2.5.4	production
bowtie2_build	frontend_resolved_sif_sha256		missing	2.5.4	production
bowtie2_build	source_sha256		missing	2.5.4	production
bowtie2_build	pinned_commit	0000000000000000000000000000000000000000	placeholder_zero	2.5.4	production
bowtie2_build	frontend_smoke_version_output_sha256		missing	2.5.4	production
clumpify	resolved_image_digest		missing	39.06	production
clumpify	image_size_bytes	0	missing	39.06	production
clumpify	resolved_sif_sha256		missing	39.06	production
clumpify	frontend_resolved_sif_sha256		missing	39.06	production
clumpify	source_sha256		missing	39.06	production
clumpify	pinned_commit	0000000000000000000000000000000000000000	placeholder_zero	39.06	production
clumpify	frontend_smoke_version_output_sha256		missing	39.06	production
cutadapt	resolved_image_digest		missing	4.9	production
cutadapt	image_size_bytes	0	missing	4.9	production
cutadapt	resolved_sif_sha256		missing	4.9	production
cutadapt	frontend_resolved_sif_sha256		missing	4.9	production
cutadapt	source_sha256		missing	4.9	production
cutadapt	pinned_commit	0000000000000000000000000000000000000000	placeholder_zero	4.9	production
cutadapt	frontend_smoke_version_output_sha256		missing	4.9	production
