default_tool	stage_ids	registry_container_ref	registry_package	domain_container_image	domain_package	digest_class	package_status
bbduk	fastq.filter_low_complexity	bijuxdna/bbduk@sha256:da5764715915a5edeb0e40e2c18a5ce7142f31dac8e4844bd2dcb463403b8bd4	bijuxdna/bbduk	bijuxdna/bbduk	bijuxdna/bbduk	immutable	ready
bijux_dna	fastq.detect_duplicates_premerge;fastq.estimate_library_complexity_prealign	bijuxdna/bijux_dna:workspace	bijuxdna/bijux_dna			tag_only	domain_package_missing
bowtie2	fastq.deplete_host;fastq.deplete_reference_contaminants	bijuxdna/bowtie2:2.5.4	bijuxdna/bowtie2	bijuxdna/bowtie2	bijuxdna/bowtie2	tag_only	ready
bowtie2_build	fastq.index_reference	bijuxdna/bowtie2_build:2.5.4	bijuxdna/bowtie2_build	bijuxdna/bowtie2_build	bijuxdna/bowtie2_build	tag_only	ready
clumpify	fastq.remove_duplicates	bijuxdna/clumpify@sha256:fa8159777183edae8355363ba8cc5e8f8f069bee09cb6f2fb70a7ca4220a5c81	bijuxdna/clumpify	bijuxdna/clumpify	bijuxdna/clumpify	immutable	ready
cutadapt	fastq.trim_terminal_damage;fastq.normalize_primers	bijuxdna/cutadapt@sha256:4405f2effc1a195c93098408aa36268357c25b758348bfe6da8790bbe7e842ba	bijuxdna/cutadapt	bijuxdna/cutadapt	bijuxdna/cutadapt	immutable	ready
dada2	fastq.infer_asvs	bijuxdna/dada2@sha256:930e06fb8e27965ccafae61d4161ab5e32933aea2555e68ad409ef7af43c8245	bijuxdna/dada2	bijuxdna/dada2	bijuxdna/dada2	immutable	ready
fastp	fastq.trim_polyg_tails;fastq.trim_reads;fastq.filter_reads	bijuxdna/fastp@sha256:603656aa361eee1cbd1370db9412e588da91708da5542173e5ae74aab71cbc10	bijuxdna/fastp	bijuxdna/fastp	bijuxdna/fastp	immutable	ready
fastqc	fastq.detect_adapters;fastq.profile_overrepresented_sequences	bijuxdna/fastqc@sha256:e0b83c56262486cab51020e2bb809b391ad9b38ba7a898588ab15b73586ee789	bijuxdna/fastqc	bijuxdna/fastqc	bijuxdna/fastqc	immutable	ready
fastqvalidator	fastq.validate_reads	bijuxdna/fastqvalidator@sha256:3e01ccfed0313ffb63e8b9a8c4044a47249906d0b7b32c68caccf81f0a532edc	bijuxdna/fastqvalidator	bijuxdna/fastqvalidator	bijuxdna/fastqvalidator	immutable	ready
kraken2	fastq.screen_taxonomy	bijuxdna/kraken2@sha256:e493061d26aeea71812ed8b587a0e65f67617b192e225d8d53eba896dfe7cb35	bijuxdna/kraken2	bijuxdna/kraken2	bijuxdna/kraken2	immutable	ready
multiqc	fastq.report_qc	bijuxdna/multiqc@sha256:40af0025fcc5bc4ea15e5cd2a4fd7bcfc98ea06c9ca781e6268f3c81d12787ec	bijuxdna/multiqc	bijuxdna/multiqc	bijuxdna/multiqc	immutable	ready
pear	fastq.merge_pairs	bijuxdna/pear@sha256:4e00e9ffabc5ed46115efab5b6bae946913f1713bb314fd4acb7c379c37efae6	bijuxdna/pear	bijuxdna/pear	bijuxdna/pear	immutable	ready
rcorrector	fastq.correct_errors	bijuxdna/rcorrector@sha256:cfec0e32dc980f61681376e78961785c8f74804bd90ebabccb98f825e5fdb454	bijuxdna/rcorrector	bijuxdna/rcorrector	bijuxdna/rcorrector	immutable	ready
seqkit	fastq.normalize_abundance	bijuxdna/seqkit@sha256:ca3dc13e3fef5d34927c44b2d8cd2bc6708c2c256f42e51369d7b1203b0d2991	bijuxdna/seqkit	bijuxdna/seqkit	bijuxdna/seqkit	immutable	ready
seqkit_stats	fastq.profile_read_lengths;fastq.profile_reads	bijuxdna/seqkit@sha256:ca3dc13e3fef5d34927c44b2d8cd2bc6708c2c256f42e51369d7b1203b0d2991	bijuxdna/seqkit	bijuxdna/seqkit	bijuxdna/seqkit	immutable	ready
sortmerna	fastq.deplete_rrna	bijuxdna/sortmerna@sha256:2021b21d075d06404339ec019b9729f2dfb820685c86835df654c2fb7d8b447c	bijuxdna/sortmerna	bijuxdna/sortmerna	bijuxdna/sortmerna	immutable	ready
umi_tools	fastq.extract_umis	bijuxdna/umi_tools@sha256:b2913af8c02c1eeea5de7a4b5c120f65e2003b90479c8873f0ec37689d36296c	bijuxdna/umi_tools	bijuxdna/umi_tools	bijuxdna/umi_tools	immutable	ready
vsearch	fastq.remove_chimeras;fastq.cluster_otus	bijuxdna/vsearch@sha256:c16ef98d6fd67ac0b8eea3ebb4f3dc6df9c582d6f838317d5f6ccc7a09e60bb3	bijuxdna/vsearch	bijuxdna/vsearch	bijuxdna/vsearch	immutable	ready
