stage_id	default_tool	proof_kind	proof_status	expected_artifact_paths
fastq.index_reference	bowtie2_build	docker_cyclonedx_sbom	missing_from_snapshot	artifacts/containers/sbom/bowtie2_build/docker-cyclonedx.json;artifacts/containers/sbom/bowtie2_build.cyclonedx.json
fastq.index_reference	bowtie2_build	docker_spdx_sbom	missing_from_snapshot	artifacts/containers/sbom/bowtie2_build/docker-spdx.json;artifacts/containers/sbom/bowtie2_build.spdx.json
fastq.index_reference	bowtie2_build	apptainer_sbom	missing_from_snapshot	artifacts/containers/sbom/bowtie2_build/apptainer-cyclonedx.json;artifacts/containers/sbom/bowtie2_build.apptainer.cyclonedx.json
fastq.index_reference	bowtie2_build	smoke_manifest	missing_from_snapshot	artifacts/containers/smoke/bowtie2_build/manifest.json;artifacts/containers/smoke/bowtie2_build.json
fastq.validate_reads	fastqvalidator	docker_cyclonedx_sbom	missing_from_snapshot	artifacts/containers/sbom/fastqvalidator/docker-cyclonedx.json;artifacts/containers/sbom/fastqvalidator.cyclonedx.json
fastq.validate_reads	fastqvalidator	docker_spdx_sbom	missing_from_snapshot	artifacts/containers/sbom/fastqvalidator/docker-spdx.json;artifacts/containers/sbom/fastqvalidator.spdx.json
fastq.validate_reads	fastqvalidator	apptainer_sbom	missing_from_snapshot	artifacts/containers/sbom/fastqvalidator/apptainer-cyclonedx.json;artifacts/containers/sbom/fastqvalidator.apptainer.cyclonedx.json
fastq.validate_reads	fastqvalidator	smoke_manifest	missing_from_snapshot	artifacts/containers/smoke/fastqvalidator/manifest.json;artifacts/containers/smoke/fastqvalidator.json
fastq.profile_read_lengths	seqkit_stats	docker_cyclonedx_sbom	missing_from_snapshot	artifacts/containers/sbom/seqkit_stats/docker-cyclonedx.json;artifacts/containers/sbom/seqkit_stats.cyclonedx.json
fastq.profile_read_lengths	seqkit_stats	docker_spdx_sbom	missing_from_snapshot	artifacts/containers/sbom/seqkit_stats/docker-spdx.json;artifacts/containers/sbom/seqkit_stats.spdx.json
fastq.profile_read_lengths	seqkit_stats	apptainer_sbom	missing_from_snapshot	artifacts/containers/sbom/seqkit_stats/apptainer-cyclonedx.json;artifacts/containers/sbom/seqkit_stats.apptainer.cyclonedx.json
fastq.profile_read_lengths	seqkit_stats	smoke_manifest	missing_from_snapshot	artifacts/containers/smoke/seqkit_stats/manifest.json;artifacts/containers/smoke/seqkit_stats.json
fastq.detect_adapters	fastqc	docker_cyclonedx_sbom	missing_from_snapshot	artifacts/containers/sbom/fastqc/docker-cyclonedx.json;artifacts/containers/sbom/fastqc.cyclonedx.json
fastq.detect_adapters	fastqc	docker_spdx_sbom	missing_from_snapshot	artifacts/containers/sbom/fastqc/docker-spdx.json;artifacts/containers/sbom/fastqc.spdx.json
fastq.detect_adapters	fastqc	apptainer_sbom	missing_from_snapshot	artifacts/containers/sbom/fastqc/apptainer-cyclonedx.json;artifacts/containers/sbom/fastqc.apptainer.cyclonedx.json
fastq.detect_adapters	fastqc	smoke_manifest	missing_from_snapshot	artifacts/containers/smoke/fastqc/manifest.json;artifacts/containers/smoke/fastqc.json
fastq.detect_duplicates_premerge	bijux_dna	docker_cyclonedx_sbom	missing_from_snapshot	artifacts/containers/sbom/bijux_dna/docker-cyclonedx.json;artifacts/containers/sbom/bijux_dna.cyclonedx.json
fastq.detect_duplicates_premerge	bijux_dna	docker_spdx_sbom	missing_from_snapshot	artifacts/containers/sbom/bijux_dna/docker-spdx.json;artifacts/containers/sbom/bijux_dna.spdx.json
fastq.detect_duplicates_premerge	bijux_dna	apptainer_sbom	missing_from_snapshot	artifacts/containers/sbom/bijux_dna/apptainer-cyclonedx.json;artifacts/containers/sbom/bijux_dna.apptainer.cyclonedx.json
fastq.detect_duplicates_premerge	bijux_dna	smoke_manifest	missing_from_snapshot	artifacts/containers/smoke/bijux_dna/manifest.json;artifacts/containers/smoke/bijux_dna.json
fastq.trim_terminal_damage	cutadapt	docker_cyclonedx_sbom	missing_from_snapshot	artifacts/containers/sbom/cutadapt/docker-cyclonedx.json;artifacts/containers/sbom/cutadapt.cyclonedx.json
fastq.trim_terminal_damage	cutadapt	docker_spdx_sbom	missing_from_snapshot	artifacts/containers/sbom/cutadapt/docker-spdx.json;artifacts/containers/sbom/cutadapt.spdx.json
fastq.trim_terminal_damage	cutadapt	apptainer_sbom	missing_from_snapshot	artifacts/containers/sbom/cutadapt/apptainer-cyclonedx.json;artifacts/containers/sbom/cutadapt.apptainer.cyclonedx.json
fastq.trim_terminal_damage	cutadapt	smoke_manifest	missing_from_snapshot	artifacts/containers/smoke/cutadapt/manifest.json;artifacts/containers/smoke/cutadapt.json
fastq.normalize_primers	cutadapt	docker_cyclonedx_sbom	missing_from_snapshot	artifacts/containers/sbom/cutadapt/docker-cyclonedx.json;artifacts/containers/sbom/cutadapt.cyclonedx.json
fastq.normalize_primers	cutadapt	docker_spdx_sbom	missing_from_snapshot	artifacts/containers/sbom/cutadapt/docker-spdx.json;artifacts/containers/sbom/cutadapt.spdx.json
fastq.normalize_primers	cutadapt	apptainer_sbom	missing_from_snapshot	artifacts/containers/sbom/cutadapt/apptainer-cyclonedx.json;artifacts/containers/sbom/cutadapt.apptainer.cyclonedx.json
fastq.normalize_primers	cutadapt	smoke_manifest	missing_from_snapshot	artifacts/containers/smoke/cutadapt/manifest.json;artifacts/containers/smoke/cutadapt.json
fastq.trim_polyg_tails	fastp	docker_cyclonedx_sbom	missing_from_snapshot	artifacts/containers/sbom/fastp/docker-cyclonedx.json;artifacts/containers/sbom/fastp.cyclonedx.json
fastq.trim_polyg_tails	fastp	docker_spdx_sbom	missing_from_snapshot	artifacts/containers/sbom/fastp/docker-spdx.json;artifacts/containers/sbom/fastp.spdx.json
fastq.trim_polyg_tails	fastp	apptainer_sbom	missing_from_snapshot	artifacts/containers/sbom/fastp/apptainer-cyclonedx.json;artifacts/containers/sbom/fastp.apptainer.cyclonedx.json
fastq.trim_polyg_tails	fastp	smoke_manifest	missing_from_snapshot	artifacts/containers/smoke/fastp/manifest.json;artifacts/containers/smoke/fastp.json
fastq.trim_reads	fastp	docker_cyclonedx_sbom	missing_from_snapshot	artifacts/containers/sbom/fastp/docker-cyclonedx.json;artifacts/containers/sbom/fastp.cyclonedx.json
fastq.trim_reads	fastp	docker_spdx_sbom	missing_from_snapshot	artifacts/containers/sbom/fastp/docker-spdx.json;artifacts/containers/sbom/fastp.spdx.json
fastq.trim_reads	fastp	apptainer_sbom	missing_from_snapshot	artifacts/containers/sbom/fastp/apptainer-cyclonedx.json;artifacts/containers/sbom/fastp.apptainer.cyclonedx.json
fastq.trim_reads	fastp	smoke_manifest	missing_from_snapshot	artifacts/containers/smoke/fastp/manifest.json;artifacts/containers/smoke/fastp.json
fastq.filter_reads	fastp	docker_cyclonedx_sbom	missing_from_snapshot	artifacts/containers/sbom/fastp/docker-cyclonedx.json;artifacts/containers/sbom/fastp.cyclonedx.json
fastq.filter_reads	fastp	docker_spdx_sbom	missing_from_snapshot	artifacts/containers/sbom/fastp/docker-spdx.json;artifacts/containers/sbom/fastp.spdx.json
fastq.filter_reads	fastp	apptainer_sbom	missing_from_snapshot	artifacts/containers/sbom/fastp/apptainer-cyclonedx.json;artifacts/containers/sbom/fastp.apptainer.cyclonedx.json
fastq.filter_reads	fastp	smoke_manifest	missing_from_snapshot	artifacts/containers/smoke/fastp/manifest.json;artifacts/containers/smoke/fastp.json
fastq.profile_reads	seqkit_stats	docker_cyclonedx_sbom	missing_from_snapshot	artifacts/containers/sbom/seqkit_stats/docker-cyclonedx.json;artifacts/containers/sbom/seqkit_stats.cyclonedx.json
fastq.profile_reads	seqkit_stats	docker_spdx_sbom	missing_from_snapshot	artifacts/containers/sbom/seqkit_stats/docker-spdx.json;artifacts/containers/sbom/seqkit_stats.spdx.json
fastq.profile_reads	seqkit_stats	apptainer_sbom	missing_from_snapshot	artifacts/containers/sbom/seqkit_stats/apptainer-cyclonedx.json;artifacts/containers/sbom/seqkit_stats.apptainer.cyclonedx.json
fastq.profile_reads	seqkit_stats	smoke_manifest	missing_from_snapshot	artifacts/containers/smoke/seqkit_stats/manifest.json;artifacts/containers/smoke/seqkit_stats.json
fastq.deplete_rrna	sortmerna	docker_cyclonedx_sbom	missing_from_snapshot	artifacts/containers/sbom/sortmerna/docker-cyclonedx.json;artifacts/containers/sbom/sortmerna.cyclonedx.json
fastq.deplete_rrna	sortmerna	docker_spdx_sbom	missing_from_snapshot	artifacts/containers/sbom/sortmerna/docker-spdx.json;artifacts/containers/sbom/sortmerna.spdx.json
fastq.deplete_rrna	sortmerna	apptainer_sbom	missing_from_snapshot	artifacts/containers/sbom/sortmerna/apptainer-cyclonedx.json;artifacts/containers/sbom/sortmerna.apptainer.cyclonedx.json
