stage_id	tool_id	evidence_kind	primary_locator	supporting_locators	local_payload_path	payload_access_status	reference_asset_status	container_ref_status	resolved_image_digest	resolved_sif_sha256	license_status	runtime_surface_status	planner_digest_status	sbom_status	smoke_status	behavioral_qa_status	registry_status	closure_status	blocking_reason	owner	last_verified_utc
fastq.index_reference	bowtie2_build	paper	https://github.com/BenLangmead/bowtie2	paper:https://www.nature.com/articles/nmeth.1923	science/docs/upstream/fastq/tools/bowtie2_build/repo	ready	reference_bank	tag_only			spdx_noassertion;upstream_license_id_noassertion	ready	digest_missing	apptainer_sbom:missing_from_snapshot;docker_cyclonedx_sbom:missing_from_snapshot;docker_spdx_sbom:missing_from_snapshot	missing_from_snapshot	missing_environment_qa_stage	production	blocked	reference_asset_status:reference_bank;container_ref_status:tag_only;license_status:spdx_noassertion;upstream_license_id_noassertion;planner_digest_status:digest_missing;sbom_status:apptainer_sbom:missing_from_snapshot;docker_cyclonedx_sbom:missing_from_snapshot;docker_spdx_sbom:missing_from_snapshot;smoke_status:missing_from_snapshot;behavioral_qa_status:missing_environment_qa_stage;resolved_image_digest:missing;resolved_sif_sha256:missing	bijux-domain	not_recorded
fastq.validate_reads	fastqvalidator	software_citation	https://github.com/statgen/fastQValidator	software:https://github.com/statgen/fastQValidator	science/docs/upstream/fastq/tools/fastqvalidator/repo	ready	ready	immutable			spdx_noassertion;upstream_license_id_noassertion	ready	digest_missing	apptainer_sbom:missing_from_snapshot;docker_cyclonedx_sbom:missing_from_snapshot;docker_spdx_sbom:missing_from_snapshot	missing_from_snapshot	ready	production	blocked	license_status:spdx_noassertion;upstream_license_id_noassertion;planner_digest_status:digest_missing;sbom_status:apptainer_sbom:missing_from_snapshot;docker_cyclonedx_sbom:missing_from_snapshot;docker_spdx_sbom:missing_from_snapshot;smoke_status:missing_from_snapshot;resolved_image_digest:missing;resolved_sif_sha256:missing	bijux-runtime	not_recorded
fastq.profile_read_lengths	seqkit_stats	paper	https://github.com/shenwei356/seqkit	paper:https://pmc.ncbi.nlm.nih.gov/articles/PMC5051824/	science/docs/upstream/fastq/tools/seqkit_stats/repo	ready	ready	immutable			spdx_noassertion;upstream_license_id_noassertion	ready	digest_missing	apptainer_sbom:missing_from_snapshot;docker_cyclonedx_sbom:missing_from_snapshot;docker_spdx_sbom:missing_from_snapshot	missing_from_snapshot	missing_environment_qa_stage	production	blocked	license_status:spdx_noassertion;upstream_license_id_noassertion;planner_digest_status:digest_missing;sbom_status:apptainer_sbom:missing_from_snapshot;docker_cyclonedx_sbom:missing_from_snapshot;docker_spdx_sbom:missing_from_snapshot;smoke_status:missing_from_snapshot;behavioral_qa_status:missing_environment_qa_stage;resolved_image_digest:missing;resolved_sif_sha256:missing	bijux-runtime	not_recorded
fastq.detect_adapters	fastqc	software_citation	https://github.com/s-andrews/FastQC	software:https://www.bioinformatics.babraham.ac.uk/projects/fastqc/	science/docs/upstream/fastq/tools/fastqc/repo	ready	ready	immutable			spdx_noassertion;upstream_license_id_noassertion	ready	digest_missing	apptainer_sbom:missing_from_snapshot;docker_cyclonedx_sbom:missing_from_snapshot;docker_spdx_sbom:missing_from_snapshot	missing_from_snapshot	missing_environment_qa_stage	production	blocked	license_status:spdx_noassertion;upstream_license_id_noassertion;planner_digest_status:digest_missing;sbom_status:apptainer_sbom:missing_from_snapshot;docker_cyclonedx_sbom:missing_from_snapshot;docker_spdx_sbom:missing_from_snapshot;smoke_status:missing_from_snapshot;behavioral_qa_status:missing_environment_qa_stage;resolved_image_digest:missing;resolved_sif_sha256:missing	bijux-runtime	not_recorded
fastq.detect_duplicates_premerge	bijux_dna	software_citation	https://github.com/bijux/bijux-genomics	software:https://github.com/bijux/bijux-genomics	science/docs/upstream/fastq/tools/bijux_dna/repo	archive:missing;paper:software_citation_only	ready	tag_only			ready	ready	missing_planner_snapshot	apptainer_sbom:missing_from_snapshot;docker_cyclonedx_sbom:missing_from_snapshot;docker_spdx_sbom:missing_from_snapshot	missing_from_snapshot	missing_environment_qa_stage	production	blocked	payload_access_status:archive:missing;paper:software_citation_only;container_ref_status:tag_only;planner_digest_status:missing_planner_snapshot;sbom_status:apptainer_sbom:missing_from_snapshot;docker_cyclonedx_sbom:missing_from_snapshot;docker_spdx_sbom:missing_from_snapshot;smoke_status:missing_from_snapshot;behavioral_qa_status:missing_environment_qa_stage;resolved_image_digest:missing;resolved_sif_sha256:missing	bijux-science	not_recorded
fastq.trim_terminal_damage	cutadapt	paper	https://github.com/marcelm/cutadapt	paper:https://journal.embnet.org/index.php/embnetjournal/article/view/200	science/docs/upstream/fastq/tools/cutadapt/repo	ready	ready	immutable			spdx_noassertion;upstream_license_id_noassertion	ready	digest_missing	apptainer_sbom:missing_from_snapshot;docker_cyclonedx_sbom:missing_from_snapshot;docker_spdx_sbom:missing_from_snapshot	missing_from_snapshot	missing_environment_qa_stage	production	blocked	license_status:spdx_noassertion;upstream_license_id_noassertion;planner_digest_status:digest_missing;sbom_status:apptainer_sbom:missing_from_snapshot;docker_cyclonedx_sbom:missing_from_snapshot;docker_spdx_sbom:missing_from_snapshot;smoke_status:missing_from_snapshot;behavioral_qa_status:missing_environment_qa_stage;resolved_image_digest:missing;resolved_sif_sha256:missing	bijux-runtime	not_recorded
fastq.normalize_primers	cutadapt	paper	https://github.com/marcelm/cutadapt	paper:https://journal.embnet.org/index.php/embnetjournal/article/view/200	science/docs/upstream/fastq/tools/cutadapt/repo	ready	ready	immutable			spdx_noassertion;upstream_license_id_noassertion	ready	missing_planner_snapshot	apptainer_sbom:missing_from_snapshot;docker_cyclonedx_sbom:missing_from_snapshot;docker_spdx_sbom:missing_from_snapshot	missing_from_snapshot	missing_environment_qa_stage	production	blocked	license_status:spdx_noassertion;upstream_license_id_noassertion;planner_digest_status:missing_planner_snapshot;sbom_status:apptainer_sbom:missing_from_snapshot;docker_cyclonedx_sbom:missing_from_snapshot;docker_spdx_sbom:missing_from_snapshot;smoke_status:missing_from_snapshot;behavioral_qa_status:missing_environment_qa_stage;resolved_image_digest:missing;resolved_sif_sha256:missing	bijux-runtime	not_recorded
fastq.trim_polyg_tails	fastp	paper	https://github.com/OpenGene/fastp	paper:https://academic.oup.com/bioinformatics/article/34/17/i884/5093234	science/docs/upstream/fastq/tools/fastp/repo	ready	polyx_bank	immutable			spdx_noassertion;upstream_license_id_noassertion	ready	digest_missing	apptainer_sbom:missing_from_snapshot;docker_cyclonedx_sbom:missing_from_snapshot;docker_spdx_sbom:missing_from_snapshot	missing_from_snapshot	missing_environment_qa_stage	production	blocked	reference_asset_status:polyx_bank;license_status:spdx_noassertion;upstream_license_id_noassertion;planner_digest_status:digest_missing;sbom_status:apptainer_sbom:missing_from_snapshot;docker_cyclonedx_sbom:missing_from_snapshot;docker_spdx_sbom:missing_from_snapshot;smoke_status:missing_from_snapshot;behavioral_qa_status:missing_environment_qa_stage;resolved_image_digest:missing;resolved_sif_sha256:missing	bijux-domain	not_recorded
fastq.trim_reads	fastp	paper	https://github.com/OpenGene/fastp	paper:https://academic.oup.com/bioinformatics/article/34/17/i884/5093234	science/docs/upstream/fastq/tools/fastp/repo	ready	polyx_bank;contaminant_db_bank	immutable			spdx_noassertion;upstream_license_id_noassertion	ready	digest_missing	apptainer_sbom:missing_from_snapshot;docker_cyclonedx_sbom:missing_from_snapshot;docker_spdx_sbom:missing_from_snapshot	missing_from_snapshot	ready	production	blocked	reference_asset_status:polyx_bank;contaminant_db_bank;license_status:spdx_noassertion;upstream_license_id_noassertion;planner_digest_status:digest_missing;sbom_status:apptainer_sbom:missing_from_snapshot;docker_cyclonedx_sbom:missing_from_snapshot;docker_spdx_sbom:missing_from_snapshot;smoke_status:missing_from_snapshot;resolved_image_digest:missing;resolved_sif_sha256:missing	bijux-domain	not_recorded
fastq.filter_reads	fastp	paper	https://github.com/OpenGene/fastp	paper:https://academic.oup.com/bioinformatics/article/34/17/i884/5093234	science/docs/upstream/fastq/tools/fastp/repo	ready	contaminant_db_bank	immutable			spdx_noassertion;upstream_license_id_noassertion	ready	digest_missing	apptainer_sbom:missing_from_snapshot;docker_cyclonedx_sbom:missing_from_snapshot;docker_spdx_sbom:missing_from_snapshot	missing_from_snapshot	ready	production	blocked	reference_asset_status:contaminant_db_bank;license_status:spdx_noassertion;upstream_license_id_noassertion;planner_digest_status:digest_missing;sbom_status:apptainer_sbom:missing_from_snapshot;docker_cyclonedx_sbom:missing_from_snapshot;docker_spdx_sbom:missing_from_snapshot;smoke_status:missing_from_snapshot;resolved_image_digest:missing;resolved_sif_sha256:missing	bijux-domain	not_recorded
