repo_id	clone_url	mirror_path	archive_path	reference_count	sample_sources
ANGSD/angsd	https://github.com/ANGSD/angsd.git	science/docs/upstream/github-repos/mirrors/ANGSD/angsd.git	science/docs/upstream/github-repos/archives/ANGSD--angsd.tar.gz	6	configs/ci/registry/tool_registry.toml;configs/ci/registry/tool_registry_vcf.toml;configs/ci/registry/tool_registry_vcf_downstream.toml;docs/30-operations/CONTAINER_LICENSE_INDEX.md;domain/bam/tools/angsd.yaml
Adrian-Cantu/PRINSEQ-plus-plus	https://github.com/Adrian-Cantu/PRINSEQ-plus-plus.git	science/docs/upstream/github-repos/mirrors/Adrian-Cantu/PRINSEQ-plus-plus.git	science/docs/upstream/github-repos/archives/Adrian-Cantu--PRINSEQ-plus-plus.tar.gz	4	configs/ci/registry/tool_registry.toml;domain/fastq/tools/prinseq.yaml;science/docs/TODO_DOWNLOAD.md;science/docs/upstream/fastq/tools/EVIDENCE_MAP.tsv
BenLangmead/bowtie2	https://github.com/BenLangmead/bowtie2.git	science/docs/upstream/github-repos/mirrors/BenLangmead/bowtie2.git	science/docs/upstream/github-repos/archives/BenLangmead--bowtie2.tar.gz	7	configs/ci/registry/tool_registry.toml;docs/30-operations/CONTAINER_LICENSE_INDEX.md;domain/bam/tools/bowtie2.yaml;domain/fastq/tools/bowtie2.yaml;domain/fastq/tools/bowtie2_build.yaml
CGATOxford/UMI-tools	https://github.com/CGATOxford/UMI-tools.git	science/docs/upstream/github-repos/mirrors/CGATOxford/UMI-tools.git	science/docs/upstream/github-repos/archives/CGATOxford--UMI-tools.tar.gz	3	docs/30-operations/CONTAINER_LICENSE_INDEX.md;science/docs/TODO_DOWNLOAD.md;science/docs/upstream/fastq/tools/EVIDENCE_MAP.tsv
DReichLab/EIG	https://github.com/DReichLab/EIG.git	science/docs/upstream/github-repos/mirrors/DReichLab/EIG.git	science/docs/upstream/github-repos/archives/DReichLab--EIG.tar.gz	4	configs/ci/registry/tool_registry_vcf.toml;configs/ci/registry/tool_registry_vcf_downstream.toml;docs/30-operations/CONTAINER_LICENSE_INDEX.md;domain/vcf/tools/eigensoft.yaml
DaehwanKimLab/centrifuge	https://github.com/DaehwanKimLab/centrifuge.git	science/docs/upstream/github-repos/mirrors/DaehwanKimLab/centrifuge.git	science/docs/upstream/github-repos/archives/DaehwanKimLab--centrifuge.tar.gz	5	configs/ci/registry/tool_registry.toml;docs/30-operations/CONTAINER_LICENSE_INDEX.md;domain/fastq/tools/centrifuge.yaml;science/docs/TODO_DOWNLOAD.md;science/docs/upstream/fastq/tools/EVIDENCE_MAP.tsv
DerrickWood/kraken2	https://github.com/DerrickWood/kraken2.git	science/docs/upstream/github-repos/mirrors/DerrickWood/kraken2.git	science/docs/upstream/github-repos/archives/DerrickWood--kraken2.tar.gz	5	configs/ci/registry/tool_registry.toml;docs/30-operations/CONTAINER_LICENSE_INDEX.md;domain/fastq/tools/kraken2.yaml;science/docs/TODO_DOWNLOAD.md;science/docs/upstream/fastq/tools/EVIDENCE_MAP.tsv
FelixKrueger/TrimGalore	https://github.com/FelixKrueger/TrimGalore.git	science/docs/upstream/github-repos/mirrors/FelixKrueger/TrimGalore.git	science/docs/upstream/github-repos/archives/FelixKrueger--TrimGalore.tar.gz	5	configs/ci/registry/tool_registry.toml;docs/30-operations/CONTAINER_LICENSE_INDEX.md;domain/fastq/tools/trim_galore.yaml;science/docs/TODO_DOWNLOAD.md;science/docs/upstream/fastq/tools/EVIDENCE_MAP.tsv
Griffan/VerifyBamID	https://github.com/Griffan/VerifyBamID.git	science/docs/upstream/github-repos/mirrors/Griffan/VerifyBamID.git	science/docs/upstream/github-repos/archives/Griffan--VerifyBamID.tar.gz	4	configs/ci/registry/tool_registry.toml;docs/20-science/TOOL_INDEX.md;docs/30-operations/CONTAINER_LICENSE_INDEX.md;domain/bam/tools/verifybamid2.yaml
Integrative-Transcriptomics/DamageProfiler	https://github.com/Integrative-Transcriptomics/DamageProfiler.git	science/docs/upstream/github-repos/mirrors/Integrative-Transcriptomics/DamageProfiler.git	science/docs/upstream/github-repos/archives/Integrative-Transcriptomics--DamageProfiler.tar.gz	4	configs/ci/registry/tool_registry_experimental.toml;docs/20-science/TOOL_INDEX.md;docs/30-operations/CONTAINER_LICENSE_INDEX.md;domain/bam/tools/damageprofiler.yaml
LouisPwr/AdDeam	https://github.com/LouisPwr/AdDeam.git	science/docs/upstream/github-repos/mirrors/LouisPwr/AdDeam.git	science/docs/upstream/github-repos/archives/LouisPwr--AdDeam.tar.gz	4	configs/ci/registry/tool_registry_experimental.toml;docs/20-science/TOOL_INDEX.md;docs/30-operations/CONTAINER_LICENSE_INDEX.md;domain/bam/tools/addeam.yaml
MikkelSchubert/adapterremoval	https://github.com/MikkelSchubert/adapterremoval.git	science/docs/upstream/github-repos/mirrors/MikkelSchubert/adapterremoval.git	science/docs/upstream/github-repos/archives/MikkelSchubert--adapterremoval.tar.gz	5	configs/ci/registry/tool_registry.toml;docs/30-operations/CONTAINER_LICENSE_INDEX.md;domain/fastq/tools/adapterremoval.yaml;science/docs/TODO_DOWNLOAD.md;science/docs/upstream/fastq/tools/EVIDENCE_MAP.tsv
OpenGene/fastp	https://github.com/OpenGene/fastp.git	science/docs/upstream/github-repos/mirrors/OpenGene/fastp.git	science/docs/upstream/github-repos/archives/OpenGene--fastp.tar.gz	5	configs/ci/registry/tool_registry.toml;docs/30-operations/CONTAINER_LICENSE_INDEX.md;domain/fastq/tools/fastp.yaml;science/docs/TODO_DOWNLOAD.md;science/docs/upstream/fastq/tools/EVIDENCE_MAP.tsv
