paper_id	tool_id	paper_root	paper_status	open_access_status	primary_locator	supporting_locators	notes
paper.fastq.atropos.didion-2017	atropos	science/docs/upstream/papers/paper.fastq.atropos.didion-2017	mapped	open_access_pmc	https://pmc.ncbi.nlm.nih.gov/articles/PMC5581536/	https://pubmed.ncbi.nlm.nih.gov/28875074/	Main Atropos paper; open-access PMC copy can be archived locally.
paper.fastq.cutadapt.martin-2011	cutadapt	science/docs/upstream/papers/paper.fastq.cutadapt.martin-2011	mapped	open_access_publisher	https://journal.embnet.org/index.php/embnetjournal/article/view/200	https://github.com/marcelm/cutadapt;https://cutadapt.readthedocs.io/	Main Cutadapt paper; archive the open-access article together with the maintained upstream repository and docs.
paper.fastq.fastp.chen-2018	fastp	science/docs/upstream/papers/paper.fastq.fastp.chen-2018	mapped	open_access_pmc	https://academic.oup.com/bioinformatics/article/34/17/i884/5093234	https://pmc.ncbi.nlm.nih.gov/articles/PMC6129281/;https://pubmed.ncbi.nlm.nih.gov/30423086/	Main fastp methods paper; use the publisher DOI landing page as the citation locator and keep the open-access PMC/PubMed records as access/index locators.
paper.fastq.fastqvalidator.software-citation	fastqvalidator	science/docs/upstream/papers/paper.fastq.fastqvalidator.software-citation	software_citation_only	project_repository	https://github.com/statgen/fastQValidator	https://pmc.ncbi.nlm.nih.gov/articles/PMC8541124/;https://www.mdpi.com/2079-9292/10/20/2516	FastQValidator does not currently expose a clear canonical paper in the governed upstream materials; use the maintained repository as the durable software-citation root. The VirIdAl pipeline paper cites the fastQValidator GitHub repository as software evidence, not as a dedicated methods paper.
paper.fastq.fastqc.software-citation	fastqc	science/docs/upstream/papers/paper.fastq.fastqc.software-citation	software_citation_only	project_homepage	https://www.bioinformatics.babraham.ac.uk/projects/fastqc/	https://github.com/s-andrews/FastQC	FastQC does not currently have a clear canonical paper in the upstream materials; use the project homepage and upstream repository as the durable software-citation root.
paper.fastq.umi-tools.smith-2017	umi_tools	science/docs/upstream/papers/paper.fastq.umi-tools.smith-2017	mapped	open_access_publisher	https://genome.cshlp.org/content/27/3/491	https://github.com/CGATOxford/UMI-tools;https://umi-tools.readthedocs.io/	Main UMI-tools paper; archive the open-access publisher article together with the upstream repository and docs.
paper.fastq.seqkit-stats.shen-2016	seqkit_stats	science/docs/upstream/papers/paper.fastq.seqkit-stats.shen-2016	mapped	open_access_pmc	https://pmc.ncbi.nlm.nih.gov/articles/PMC5051824/	https://pubmed.ncbi.nlm.nih.gov/27706213/	SeqKit stats is part of the SeqKit project and uses the same primary publication as the seqkit tool surface.
paper.fastq.seqkit.shen-2016	seqkit	science/docs/upstream/papers/paper.fastq.seqkit.shen-2016	mapped	open_access_pmc	https://pmc.ncbi.nlm.nih.gov/articles/PMC5051824/	https://pubmed.ncbi.nlm.nih.gov/27706213/	Main SeqKit paper; open-access PMC copy can be archived locally.
paper.fastq.seqfu.telatin-2021	seqfu	science/docs/upstream/papers/paper.fastq.seqfu.telatin-2021	mapped	open_access_pmc	https://pmc.ncbi.nlm.nih.gov/articles/PMC8148589/	https://pubmed.ncbi.nlm.nih.gov/34066939/	Main SeqFu paper; open-access PMC copy can be archived locally.
paper.fastq.diamond.buchfink-2015	diamond	science/docs/upstream/papers/paper.fastq.diamond.buchfink-2015	mapped	licensed_or_abstract_only	https://www.nature.com/articles/nmeth.3176	https://pubmed.ncbi.nlm.nih.gov/25402007/	Main DIAMOND methods paper; use the Nature DOI landing page as the citation locator and PubMed as the index locator.
