tool_id	stage_ids	tool_status	primary_locator	citation_status	upstream_identity_status	science_review_status	closure_status	blocking_reason	owner	last_verified_utc
angsd	vcf.call_gl;vcf.call_pseudohaploid;vcf.damage_filter;vcf.gl_propagation	planned	https://github.com/ANGSD/angsd	governed_citation_present	ready	acceptance_contract_missing	blocked	smoke_and_acceptance_thresholds_missing	bijux-science	2026-04-27
bcftools	vcf.call;vcf.call_gl;vcf.call_diploid;vcf.call_pseudohaploid;vcf.damage_filter;vcf.gl_propagation;vcf.filter;vcf.stats	supported	https://github.com/samtools/bcftools	governed_citation_present	ready	current_calling_surface_documented	informational	none	bijux-science	2026-04-27
beagle	vcf.phasing;vcf.imputation;vcf.impute	planned	https://faculty.washington.edu/browning/beagle/beagle.html	planned_primary_source_verification	ready	promotion_contract_missing	blocked	citation_planned;promotion_thresholds_missing	bijux-science	2026-04-27
eagle	vcf.phasing	planned	https://alkesgroup.broadinstitute.org/Eagle/	planned_primary_source_verification	ready	promotion_contract_missing	blocked	citation_planned;promotion_thresholds_missing	bijux-science	2026-04-27
eigensoft	vcf.pca;vcf.population_structure	planned	https://github.com/DReichLab/EIG	planned_primary_source_verification	ready	promotion_contract_missing	blocked	citation_planned;promotion_thresholds_missing	bijux-science	2026-04-27
germline	vcf.ibd	planned	https://www.cs.columbia.edu/~gusev/germline/	planned_primary_source_verification	ready	promotion_contract_missing	blocked	citation_planned;promotion_thresholds_missing	bijux-science	2026-04-27
glimpse	vcf.impute	planned	https://odelaneau.github.io/GLIMPSE/	planned_primary_source_verification	ready	promotion_contract_missing	blocked	citation_planned;promotion_thresholds_missing	bijux-science	2026-04-27
ibdhap	vcf.ibd	planned	https://example.invalid/ibdhap	planned_primary_source_verification	placeholder_invalid	promotion_contract_missing	blocked	upstream_identity:placeholder_invalid;promotion_thresholds_missing	bijux-science	2026-04-27
ibdne	vcf.demography	planned	https://faculty.washington.edu/browning/ibdne.shtml	planned_primary_source_verification	ready	promotion_contract_missing	blocked	citation_planned;promotion_thresholds_missing	bijux-science	2026-04-27
impute5	vcf.impute	planned	https://jmarchini.org/software/#impute-5	planned_primary_source_verification	ready	promotion_contract_missing	blocked	citation_planned;promotion_thresholds_missing;licensing_governance_pending	bijux-science	2026-04-27
minimac4	vcf.impute	planned	https://genome.sph.umich.edu/wiki/Minimac4	planned_primary_source_verification	ready	promotion_contract_missing	blocked	citation_planned;promotion_thresholds_missing	bijux-science	2026-04-27
plink	vcf.qc;vcf.admixture;vcf.population_structure	planned	https://www.cog-genomics.org/plink/	planned_primary_source_verification	ready	promotion_contract_missing	blocked	citation_planned;promotion_thresholds_missing	bijux-science	2026-04-27
plink2	vcf.qc;vcf.pca;vcf.admixture;vcf.population_structure;vcf.roh	planned	https://www.cog-genomics.org/plink/2.0/	planned_primary_source_verification	ready	promotion_contract_missing	blocked	citation_planned;promotion_thresholds_missing	bijux-science	2026-04-27
shapeit5	vcf.phasing	planned	https://odelaneau.github.io/shapeit5/	planned_primary_source_verification	ready	promotion_contract_missing	blocked	citation_planned;promotion_thresholds_missing	bijux-science	2026-04-27
