tool_id	stage_ids	reference_status	registry_status	version	default_version	version_rule	upstream	citation	license	pinned_commit	pin_strategy	runtimes	container_ref	dockerfile	apptainer_def
adapterremoval	fastq.merge_pairs,fastq.trim_reads,fastq.trim_terminal_damage	governed	production	2.3.3	2.3.3	pinned	https://github.com/MikkelSchubert/adapterremoval	paper:https://pmc.ncbi.nlm.nih.gov/articles/PMC4751634/	GPL-3.0	sha256:5b618834ce9fc6376c9605c3a69d738236b9be48fdf493c1bc0945568a50808d	pinned	docker,apptainer	bijuxdna/adapterremoval@sha256:5b618834ce9fc6376c9605c3a69d738236b9be48fdf493c1bc0945568a50808d	containers/docker/arm64/Dockerfile.adapterremoval	containers/apptainer/shared/adapterremoval.def
alientrimmer	fastq.trim_reads	governed	production	3.2	3.2	pinned	https://gitlab.pasteur.fr/GIPhy/AlienTrimmer	paper:https://pubmed.ncbi.nlm.nih.gov/23912058/	GPL-3.0	release:3.2	pinned	docker,apptainer	bijuxdna/alientrimmer:3.2	containers/docker/arm64/Dockerfile.alientrimmer	containers/apptainer/shared/alientrimmer.def
atropos	fastq.trim_reads	governed	production	1.1.31	1.1.31	pinned	https://github.com/jdidion/atropos	paper:https://pmc.ncbi.nlm.nih.gov/articles/PMC5581536/	GPL-3.0	sha256:5a2fab22811303ced83475111a2427eaa894fcb39436618bb26be1da391f300d	pinned	docker,apptainer	bijuxdna/atropos@sha256:5a2fab22811303ced83475111a2427eaa894fcb39436618bb26be1da391f300d	containers/docker/arm64/Dockerfile.atropos	containers/apptainer/shared/atropos.def
bayeshammer	fastq.correct_errors	governed	production	4.2.0	4.2.0	pinned	https://github.com/ablab/spades	paper:https://link.springer.com/article/10.1186/1471-2164-14-S1-S7	GPL-3.0	sha256:99849ca7576f392a125ce5836e915481ada762cbb4fa9b69593b81c4ca359cd7	pinned	docker,apptainer	bijuxdna/bayeshammer@sha256:99849ca7576f392a125ce5836e915481ada762cbb4fa9b69593b81c4ca359cd7	containers/docker/arm64/Dockerfile.bayeshammer	containers/apptainer/shared/bayeshammer.def
bbduk	fastq.filter_low_complexity,fastq.filter_reads,fastq.trim_polyg_tails,fastq.trim_reads	governed	production	39.08	39.08	pinned	https://sourceforge.net/projects/bbmap/	software:https://bbmap.org/tools/bbduk	GPL-3.0	sha256:da5764715915a5edeb0e40e2c18a5ce7142f31dac8e4844bd2dcb463403b8bd4	pinned	docker,apptainer	bijuxdna/bbduk@sha256:da5764715915a5edeb0e40e2c18a5ce7142f31dac8e4844bd2dcb463403b8bd4	containers/docker/arm64/Dockerfile.bbduk	containers/apptainer/shared/bbduk.def
bbmerge	fastq.merge_pairs	governed	production	39.01	39.01	pinned	https://sourceforge.net/projects/bbmap/	paper:https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0185056	GPL-3.0	sha256:6182848b989c8dbf094e06c486190b5d54243ac8eea542daa2c5c059a11bba54	pinned	docker,apptainer	bijuxdna/bbmerge@sha256:6182848b989c8dbf094e06c486190b5d54243ac8eea542daa2c5c059a11bba54	containers/docker/arm64/Dockerfile.bbmerge	containers/apptainer/shared/bbmerge.def
bijux_dna	fastq.build_contaminant_db,fastq.build_rrna_db,fastq.build_taxonomy_db,fastq.capture_provenance_snapshot,fastq.classify_layout,fastq.concatenate_lanes,fastq.deinterleave_reads,fastq.demultiplex_reads,fastq.detect_duplicates_premerge,fastq.detect_instrument_artifacts,fastq.estimate_library_complexity_prealign,fastq.interleave_reads,fastq.materialize_qc_manifest,fastq.normalize_read_names,fastq.prepare_adapter_bank,fastq.prepare_host_reference_bundle,fastq.prepare_primer_bank,fastq.repair_pairs,fastq.subsample_reads,fastq.verify_assets	tool_contract_metadata	planned	not_applicable	workspace	workspace	https://github.com/bijux/bijux-genomics	software:https://github.com/bijux/bijux-genomics	project	not_applicable	workspace_commit	not_applicable	not_applicable	not_applicable	not_applicable
bowtie2	fastq.deplete_host,fastq.deplete_reference_contaminants	governed	production	2.5.4	2.5.4	pinned	https://github.com/BenLangmead/bowtie2	paper:https://www.nature.com/articles/nmeth.1923	GPL-3.0	release:2.5.4	pinned	docker,apptainer	bijuxdna/bowtie2:2.5.4	containers/docker/arm64/Dockerfile.bowtie2	containers/apptainer/shared/bowtie2.def
bowtie2_build	fastq.index_reference	governed	production	2.5.4	2.5.4	pinned	https://github.com/BenLangmead/bowtie2	paper:https://www.nature.com/articles/nmeth.1923	GPL-3.0	release:2.5.4	pinned	docker,apptainer	bijuxdna/bowtie2_build:2.5.4	containers/docker/arm64/Dockerfile.bowtie2_build	containers/apptainer/shared/bowtie2_build.def
centrifuge	fastq.screen_taxonomy	governed	production	1.0.4	1.0.4	pinned	https://github.com/DaehwanKimLab/centrifuge	paper:https://genome.cshlp.org/content/26/12/1721	GPL-3.0	sha256:7a29ee8d8dc156513a23e05e9f8fda2299032ab7e6d5cb3c241c9f34c3f81553	pinned	docker,apptainer	bijuxdna/centrifuge@sha256:7a29ee8d8dc156513a23e05e9f8fda2299032ab7e6d5cb3c241c9f34c3f81553	containers/docker/arm64/Dockerfile.centrifuge	containers/apptainer/shared/centrifuge.def
