stage_id	default_tool_id	requested_execution_status	effective_closure_status	risk_class	blocking_reasons	warning_reasons
fastq.cluster_otus	vsearch	closed	declared_closed_with_gaps	closure_prerequisite_blocked	missing_environment_qa_stage	not_applicable
fastq.correct_errors	rcorrector	closed	world_class_closed	world_class_closed	not_applicable	not_applicable
fastq.deplete_host	bowtie2	closed	declared_closed_with_gaps	closure_prerequisite_blocked	missing_environment_qa_stage	not_applicable
fastq.deplete_reference_contaminants	bowtie2	closed	declared_closed_with_gaps	closure_prerequisite_blocked	missing_environment_qa_stage	not_applicable
fastq.deplete_rrna	sortmerna	closed	declared_closed_with_gaps	closure_prerequisite_blocked	missing_environment_qa_stage	not_applicable
fastq.detect_adapters	fastqc	closed	declared_closed_with_gaps	closure_prerequisite_blocked	missing_environment_qa_stage	not_applicable
fastq.detect_duplicates_premerge	bijux_dna	closed	declared_closed_with_gaps	archive_evidence_blocked	missing_upstream_archive;missing_paper_archive;missing_benchmark_support;missing_environment_qa_stage	not_applicable
fastq.estimate_library_complexity_prealign	bijux_dna	closed	declared_closed_with_gaps	archive_evidence_blocked	missing_upstream_archive;missing_paper_archive;missing_benchmark_support;missing_environment_qa_stage	not_applicable
fastq.extract_umis	umi_tools	closed	world_class_closed	world_class_closed	not_applicable	not_applicable
fastq.filter_low_complexity	bbduk	closed	declared_closed_with_gaps	closure_prerequisite_blocked	missing_environment_qa_stage	not_applicable
fastq.filter_reads	fastp	closed	world_class_closed	world_class_closed	not_applicable	not_applicable
fastq.index_reference	bowtie2_build	closed	declared_closed_with_gaps	closure_prerequisite_blocked	missing_environment_qa_stage	not_applicable
fastq.infer_asvs	dada2	closed	declared_closed_with_gaps	closure_prerequisite_blocked	missing_environment_qa_stage	not_applicable
fastq.merge_pairs	pear	closed	world_class_closed	world_class_closed	not_applicable	not_applicable
fastq.normalize_abundance	seqkit	closed	declared_closed_with_gaps	closure_prerequisite_blocked	missing_environment_qa_stage	not_applicable
fastq.normalize_primers	cutadapt	closed	declared_closed_with_gaps	closure_prerequisite_blocked	missing_environment_qa_stage	not_applicable
fastq.profile_overrepresented_sequences	fastqc	closed	declared_closed_with_gaps	closure_prerequisite_blocked	missing_environment_qa_stage	not_applicable
fastq.profile_read_lengths	seqkit_stats	closed	declared_closed_with_gaps	closure_prerequisite_blocked	missing_environment_qa_stage	not_applicable
fastq.profile_reads	seqkit_stats	closed	world_class_closed	world_class_closed	not_applicable	not_applicable
fastq.remove_chimeras	vsearch	closed	declared_closed_with_gaps	closure_prerequisite_blocked	missing_environment_qa_stage	not_applicable
fastq.remove_duplicates	clumpify	closed	declared_closed_with_gaps	closure_prerequisite_blocked	missing_environment_qa_stage	not_applicable
fastq.report_qc	multiqc	closed	world_class_closed	world_class_closed	not_applicable	not_applicable
fastq.screen_taxonomy	kraken2	closed	world_class_closed	world_class_closed	not_applicable	not_applicable
fastq.trim_polyg_tails	fastp	closed	declared_closed_with_gaps	closure_prerequisite_blocked	missing_environment_qa_stage	not_applicable
fastq.trim_reads	fastp	closed	world_class_closed	world_class_closed	not_applicable	not_applicable
fastq.trim_terminal_damage	cutadapt	closed	declared_closed_with_gaps	closure_prerequisite_blocked	missing_environment_qa_stage	not_applicable
fastq.validate_reads	fastqvalidator	closed	world_class_closed	world_class_closed	not_applicable	not_applicable
