source_id	tool_id	stage_ids	acquisition_mode	backlog_status	locator	citation	archive_path	archive_status	notes
source.fastq.tool.adapterremoval.upstream	adapterremoval	fastq.merge_pairs,fastq.trim_reads,fastq.trim_terminal_damage	manual_clone	ready	https://github.com/MikkelSchubert/adapterremoval	upstream:https://github.com/MikkelSchubert/adapterremoval	science-docs/upstream/fastq/tools/adapterremoval/repo	missing	archive upstream evidence for later review and claim confirmation
source.fastq.tool.alientrimmer.upstream	alientrimmer	fastq.trim_reads	manual_clone	ready	https://gitlab.pasteur.fr/GIPhy/AlienTrimmer	upstream:https://gitlab.pasteur.fr/GIPhy/AlienTrimmer	science-docs/upstream/fastq/tools/alientrimmer/repo	missing	archive upstream evidence for later review and claim confirmation
source.fastq.tool.atropos.upstream	atropos	fastq.trim_reads	manual_clone	ready	https://github.com/jdidion/atropos	upstream:https://github.com/jdidion/atropos	science-docs/upstream/fastq/tools/atropos/repo	missing	archive upstream evidence for later review and claim confirmation
source.fastq.tool.bayeshammer.upstream	bayeshammer	fastq.correct_errors	manual_clone	ready	https://github.com/ablab/spades	upstream:https://github.com/ablab/spades	science-docs/upstream/fastq/tools/bayeshammer/repo	missing	archive upstream evidence for later review and claim confirmation
source.fastq.tool.bbduk.upstream	bbduk	fastq.filter_low_complexity,fastq.filter_reads,fastq.trim_polyg_tails,fastq.trim_reads	manual_download	ready	https://sourceforge.net/projects/bbmap/	upstream:https://sourceforge.net/projects/bbmap/	science-docs/upstream/fastq/tools/bbduk/download	missing	archive upstream evidence for later review and claim confirmation
source.fastq.tool.bbmerge.upstream	bbmerge	fastq.merge_pairs	manual_download	ready	https://sourceforge.net/projects/bbmap/	upstream:https://sourceforge.net/projects/bbmap/	science-docs/upstream/fastq/tools/bbmerge/download	missing	archive upstream evidence for later review and claim confirmation
source.fastq.tool.bowtie2.upstream	bowtie2	fastq.deplete_host,fastq.deplete_reference_contaminants	manual_clone	ready	https://github.com/BenLangmead/bowtie2	upstream:https://github.com/BenLangmead/bowtie2	science-docs/upstream/fastq/tools/bowtie2/repo	missing	archive upstream evidence for later review and claim confirmation
source.fastq.tool.bowtie2_build.upstream	bowtie2_build	fastq.index_reference	manual_clone	ready	https://github.com/BenLangmead/bowtie2	upstream:https://github.com/BenLangmead/bowtie2	science-docs/upstream/fastq/tools/bowtie2_build/repo	missing	archive upstream evidence for later review and claim confirmation
source.fastq.tool.centrifuge.upstream	centrifuge	fastq.screen_taxonomy	manual_clone	ready	https://github.com/DaehwanKimLab/centrifuge	upstream:https://github.com/DaehwanKimLab/centrifuge	science-docs/upstream/fastq/tools/centrifuge/repo	missing	archive upstream evidence for later review and claim confirmation
source.fastq.tool.clumpify.upstream	clumpify	fastq.remove_duplicates	manual_download	ready	https://jgi.doe.gov/data-and-tools/software-tools/bbtools/	upstream:https://jgi.doe.gov/data-and-tools/software-tools/bbtools/	science-docs/upstream/fastq/tools/clumpify/download	missing	archive upstream evidence for later review and claim confirmation
source.fastq.tool.cutadapt.upstream	cutadapt	fastq.normalize_primers,fastq.trim_reads,fastq.trim_terminal_damage	manual_clone	ready	https://github.com/marcelm/cutadapt	upstream:https://github.com/marcelm/cutadapt	science-docs/upstream/fastq/tools/cutadapt/repo	missing	archive upstream evidence for later review and claim confirmation
source.fastq.tool.dada2.upstream	dada2	fastq.infer_asvs	manual_clone	ready	https://github.com/benjjneb/dada2	upstream:https://github.com/benjjneb/dada2	science-docs/upstream/fastq/tools/dada2/repo	missing	archive upstream evidence for later review and claim confirmation
source.fastq.tool.diamond.upstream	diamond	fastq.screen_taxonomy	manual_clone	ready	https://github.com/bbuchfink/diamond	upstream:https://github.com/bbuchfink/diamond	science-docs/upstream/fastq/tools/diamond/repo	missing	archive upstream evidence for later review and claim confirmation
