stage_id	tool_id	prerequisite	severity	detail
fastq.correct_errors	bayeshammer	pending_container_digest	advisory	bayeshammer cannot be treated as world-class closed for fastq.correct_errors until pending_container_digest is resolved
fastq.correct_errors	lighter	pending_container_digest	advisory	lighter cannot be treated as world-class closed for fastq.correct_errors until pending_container_digest is resolved
fastq.correct_errors	musket	pending_container_digest	advisory	musket cannot be treated as world-class closed for fastq.correct_errors until pending_container_digest is resolved
fastq.correct_errors	rcorrector	pending_container_digest	blocking	rcorrector cannot be treated as world-class closed for fastq.correct_errors until pending_container_digest is resolved
fastq.deplete_host	bowtie2	missing_paper_archive	blocking	bowtie2 cannot be treated as world-class closed for fastq.deplete_host until missing_paper_archive is resolved
fastq.deplete_host	bowtie2	missing_paper_root	blocking	bowtie2 cannot be treated as world-class closed for fastq.deplete_host until missing_paper_root is resolved
fastq.deplete_host	bowtie2	missing_upstream_archive	blocking	bowtie2 cannot be treated as world-class closed for fastq.deplete_host until missing_upstream_archive is resolved
fastq.deplete_host	bowtie2	source_backlog_missing_evidence_map	blocking	bowtie2 cannot be treated as world-class closed for fastq.deplete_host until source_backlog_missing_evidence_map is resolved
fastq.deplete_reference_contaminants	bowtie2	missing_paper_archive	blocking	bowtie2 cannot be treated as world-class closed for fastq.deplete_reference_contaminants until missing_paper_archive is resolved
fastq.deplete_reference_contaminants	bowtie2	missing_paper_root	blocking	bowtie2 cannot be treated as world-class closed for fastq.deplete_reference_contaminants until missing_paper_root is resolved
fastq.deplete_reference_contaminants	bowtie2	missing_upstream_archive	blocking	bowtie2 cannot be treated as world-class closed for fastq.deplete_reference_contaminants until missing_upstream_archive is resolved
fastq.deplete_reference_contaminants	bowtie2	source_backlog_missing_evidence_map	blocking	bowtie2 cannot be treated as world-class closed for fastq.deplete_reference_contaminants until source_backlog_missing_evidence_map is resolved
fastq.deplete_rrna	sortmerna	missing_paper_archive	blocking	sortmerna cannot be treated as world-class closed for fastq.deplete_rrna until missing_paper_archive is resolved
fastq.deplete_rrna	sortmerna	missing_paper_root	blocking	sortmerna cannot be treated as world-class closed for fastq.deplete_rrna until missing_paper_root is resolved
fastq.deplete_rrna	sortmerna	missing_upstream_archive	blocking	sortmerna cannot be treated as world-class closed for fastq.deplete_rrna until missing_upstream_archive is resolved
fastq.deplete_rrna	sortmerna	source_backlog_missing_evidence_map	blocking	sortmerna cannot be treated as world-class closed for fastq.deplete_rrna until source_backlog_missing_evidence_map is resolved
fastq.extract_umis	umi_tools	missing_upstream_archive	blocking	umi_tools cannot be treated as world-class closed for fastq.extract_umis until missing_upstream_archive is resolved
fastq.extract_umis	umi_tools	pending_container_digest	blocking	umi_tools cannot be treated as world-class closed for fastq.extract_umis until pending_container_digest is resolved
