paper_id	tool_id	stage_ids	paper_root	paper_status	open_access_status	primary_locator	supporting_locators	archive_status	notes
paper.fastq.adapterremoval.schubert-2016	adapterremoval	fastq.merge_pairs,fastq.trim_reads,fastq.trim_terminal_damage	science/docs/upstream/papers/paper.fastq.adapterremoval.schubert-2016	mapped	open_access_pmc	https://pmc.ncbi.nlm.nih.gov/articles/PMC4751634/	https://bmcresnotes.biomedcentral.com/articles/10.1186/s13104-016-1900-2;https://github.com/MikkelSchubert/adapterremoval	present	Main AdapterRemoval v2 paper; archive the open-access PMC copy and keep it tied to the source repository packet.
paper.fastq.alientrimmer.criscuolo-2013	alientrimmer	fastq.trim_reads	science/docs/upstream/papers/paper.fastq.alientrimmer.criscuolo-2013	mapped	licensed_or_abstract_only	https://pubmed.ncbi.nlm.nih.gov/23912058/	https://www.sciencedirect.com/science/article/pii/S0888754313001481;https://pmc.ncbi.nlm.nih.gov/articles/PMC4026695/	present	Main AlienTrimmer paper; ScienceDirect publisher PDF is archived locally. Keep the 2014 Frontiers commentary as supporting performance context, not as a replacement for the 2013 methods paper.
paper.fastq.alientrimmer.criscuolo-2014-commentary	alientrimmer	fastq.trim_reads	science/docs/upstream/papers/paper.fastq.alientrimmer.criscuolo-2014-commentary	supporting_context	open_access_pmc	https://pmc.ncbi.nlm.nih.gov/articles/PMC4026695/	https://pubmed.ncbi.nlm.nih.gov/24860597/;https://doi.org/10.3389/fgene.2014.00130	present	Supporting Frontiers commentary on AlienTrimmer sensitivity in short-insert paired-end reads; archive the open-access PMC/Frontiers PDF as context for trimming claims.
paper.fastq.atropos.didion-2017	atropos	fastq.trim_reads	science/docs/upstream/papers/paper.fastq.atropos.didion-2017	mapped	open_access_pmc	https://pmc.ncbi.nlm.nih.gov/articles/PMC5581536/	https://pubmed.ncbi.nlm.nih.gov/28875074/	present	Main Atropos paper; open-access PMC copy can be archived locally.
paper.fastq.bayeshammer.nikolenko-2013	bayeshammer	fastq.correct_errors	science/docs/upstream/papers/paper.fastq.bayeshammer.nikolenko-2013	mapped	open_access_publisher	https://link.springer.com/article/10.1186/1471-2164-14-S1-S7	https://github.com/ablab/spades;https://bioinf.spbau.ru/en/spades/bayeshammer	present	Main BayesHammer paper; archive the open-access Springer/BMC PDF and keep it tied to the SPAdes source tree.
paper.fastq.bbduk.bbtools-software-citation	bbduk	fastq.filter_low_complexity,fastq.filter_reads,fastq.trim_polyg_tails,fastq.trim_reads	science/docs/upstream/papers/paper.fastq.bbduk.bbtools-software-citation	software_citation_only	project_homepage	https://bbmap.org/tools/bbduk	https://bbmap.org/	present	BBDuk currently resolves through the official BBTools documentation and release surface rather than a clearly governed standalone paper.
paper.fastq.bbmerge.bushnell-2017	bbmerge	fastq.merge_pairs	science/docs/upstream/papers/paper.fastq.bbmerge.bushnell-2017	mapped	open_access_publisher	https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0185056	https://pmc.ncbi.nlm.nih.gov/articles/PMC5657622/	present	Main BBMerge paper; archive the open-access publisher or PMC copy and keep it tied to the BBTools packet.
paper.fastq.bijux-dna.software-citation	bijux_dna	fastq.build_contaminant_db,fastq.build_rrna_db,fastq.build_taxonomy_db,fastq.capture_provenance_snapshot,fastq.classify_layout,fastq.concatenate_lanes,fastq.deinterleave_reads,fastq.demultiplex_reads,fastq.detect_duplicates_premerge,fastq.detect_instrument_artifacts,fastq.estimate_library_complexity_prealign,fastq.interleave_reads,fastq.materialize_qc_manifest,fastq.normalize_read_names,fastq.prepare_adapter_bank,fastq.prepare_host_reference_bundle,fastq.prepare_primer_bank,fastq.repair_pairs,fastq.subsample_reads,fastq.verify_assets	science/docs/upstream/papers/paper.fastq.bijux-dna.software-citation	software_citation_only	project_repository	https://github.com/bijux/bijux-genomics	science/docs/upstream/github-repos/archives/bijux--bijux-genomics.tar.gz	missing	Internal planned FASTQ contract-harness stages resolve through the governed bijux-genomics repository archive; do not treat this as a standalone peer-reviewed tool paper.
paper.fastq.bowtie2.langmead-2012	bowtie2	fastq.deplete_host,fastq.deplete_reference_contaminants	science/docs/upstream/papers/paper.fastq.bowtie2.langmead-2012	mapped	open_access_pmc	https://www.nature.com/articles/nmeth.1923	https://pmc.ncbi.nlm.nih.gov/articles/PMC3322381/;https://github.com/BenLangmead/bowtie2	present	Main Bowtie 2 paper; use the Nature DOI landing page as citation locator and keep PMC/source repository locators as access and implementation evidence.
paper.fastq.bowtie2-build.langmead-2012	bowtie2_build	fastq.index_reference	science/docs/upstream/papers/paper.fastq.bowtie2-build.langmead-2012	mapped	open_access_pmc	https://www.nature.com/articles/nmeth.1923	https://pmc.ncbi.nlm.nih.gov/articles/PMC3322381/;https://github.com/BenLangmead/bowtie2	present	bowtie2-build is the governed index-building surface for Bowtie 2; archive the same Langmead and Salzberg paper context under a build-surface root so closure checks stay tool-specific.
paper.fastq.centrifuge.kim-2016	centrifuge	fastq.screen_taxonomy	science/docs/upstream/papers/paper.fastq.centrifuge.kim-2016	mapped	open_access_pmc	https://genome.cshlp.org/content/26/12/1721	https://pmc.ncbi.nlm.nih.gov/articles/PMC5131823/;https://github.com/DaehwanKimLab/centrifuge	present	Main Centrifuge paper; use the Genome Research DOI landing page as citation locator and keep PMC/source repository locators as access and implementation evidence.
paper.fastq.clumpify.bbtools-software-citation	clumpify	fastq.remove_duplicates	science/docs/upstream/papers/paper.fastq.clumpify.bbtools-software-citation	software_citation_only	project_homepage	https://bbmap.org/tools/clumpify	https://bbmap.org/	present	Clumpify currently resolves through the official BBTools documentation and release surface rather than a clearly governed standalone paper.
paper.fastq.cutadapt.martin-2011	cutadapt	fastq.normalize_primers,fastq.trim_reads,fastq.trim_terminal_damage	science/docs/upstream/papers/paper.fastq.cutadapt.martin-2011	mapped	open_access_publisher	https://journal.embnet.org/index.php/embnetjournal/article/view/200	https://github.com/marcelm/cutadapt;https://cutadapt.readthedocs.io/	present	Main Cutadapt paper; archive the open-access article together with the maintained upstream repository and docs.
paper.fastq.dada2.callahan-2016	dada2	fastq.infer_asvs	science/docs/upstream/papers/paper.fastq.dada2.callahan-2016	mapped	licensed_or_abstract_only	https://www.nature.com/articles/nmeth.3869	https://pubmed.ncbi.nlm.nih.gov/27214047/	present	Main DADA2 methods paper; use the Nature article when licensed access is available.
paper.fastq.diamond.buchfink-2015	diamond	fastq.screen_taxonomy	science/docs/upstream/papers/paper.fastq.diamond.buchfink-2015	mapped	licensed_or_abstract_only	https://www.nature.com/articles/nmeth.3176	https://pubmed.ncbi.nlm.nih.gov/25402007/	present	Main DIAMOND methods paper; use the Nature DOI landing page as the citation locator and PubMed as the index locator.
paper.fastq.dustmasker.morgulis-2006	dustmasker	fastq.filter_low_complexity	science/docs/upstream/papers/paper.fastq.dustmasker.morgulis-2006	mapped	licensed_or_abstract_only	https://journals.sagepub.com/doi/abs/10.1089/cmb.2006.13.1028	https://pubmed.ncbi.nlm.nih.gov/16796549/;https://www.ncbi.nlm.nih.gov/IEB/ToolBox/CPP_DOC/lxr/source/src/app/dustmasker/	present	Main Morgulis et al. SDUST paper cited by the NCBI DustMasker source page; use the DOI publisher landing page as the citation locator and keep PubMed/source-page locators as supporting evidence.
paper.fastq.fastp.chen-2018	fastp	fastq.filter_low_complexity,fastq.filter_reads,fastq.profile_read_lengths,fastq.trim_polyg_tails,fastq.trim_reads	science/docs/upstream/papers/paper.fastq.fastp.chen-2018	mapped	open_access_pmc	https://academic.oup.com/bioinformatics/article/34/17/i884/5093234	https://pmc.ncbi.nlm.nih.gov/articles/PMC6129281/;https://pubmed.ncbi.nlm.nih.gov/30423086/	present	Main fastp methods paper; use the publisher DOI landing page as the citation locator and keep the open-access PMC/PubMed records as access/index locators.
paper.fastq.fastq-scan.software-citation	fastq_scan	fastq.profile_overrepresented_sequences,fastq.validate_reads	science/docs/upstream/papers/paper.fastq.fastq-scan.software-citation	software_citation_only	project_repository	https://github.com/rpetit3/fastq-scan	https://www.robertpetit.com/software/fastq-scan/	present	fastq-scan currently resolves through the maintained source repository and project page rather than a canonical methods paper.
paper.fastq.fastq-screen.wingett-2018	fastq_screen	not_applicable	science/docs/upstream/papers/paper.fastq.fastq-screen.wingett-2018	mapped	open_access_pmc	https://pmc.ncbi.nlm.nih.gov/articles/PMC6124377/	https://pubmed.ncbi.nlm.nih.gov/30254741/;https://doi.org/10.12688/f1000research.15931.2;https://github.com/StevenWingett/FastQ-Screen;https://www.bioinformatics.babraham.ac.uk/projects/fastq_screen/	present	Main FastQ Screen paper; archive the open-access F1000Research/PMC PDF and keep it tied to the source repository and Babraham project page.
paper.fastq.fastqc.software-citation	fastqc	fastq.detect_adapters,fastq.profile_overrepresented_sequences,fastq.validate_reads	science/docs/upstream/papers/paper.fastq.fastqc.software-citation	software_citation_only	project_homepage	https://www.bioinformatics.babraham.ac.uk/projects/fastqc/	https://github.com/s-andrews/FastQC	present	FastQC does not currently have a clear canonical paper in the upstream materials; use the project homepage and upstream repository as the durable software-citation root.
paper.fastq.fastqvalidator.software-citation	fastqvalidator	fastq.validate_reads	science/docs/upstream/papers/paper.fastq.fastqvalidator.software-citation	software_citation_only	project_repository	https://github.com/statgen/fastQValidator	https://pmc.ncbi.nlm.nih.gov/articles/PMC8541124/;https://www.mdpi.com/2079-9292/10/20/2516	present	FastQValidator does not currently expose a clear canonical paper in the governed upstream materials; use the maintained repository as the durable software-citation root. The VirIdAl pipeline paper cites the fastQValidator GitHub repository as software evidence, not as a dedicated methods paper.
paper.fastq.fastuniq.xu-2012	fastuniq	fastq.remove_duplicates	science/docs/upstream/papers/paper.fastq.fastuniq.xu-2012	mapped	open_access_pmc	https://pmc.ncbi.nlm.nih.gov/articles/PMC3527383/	https://sourceforge.net/projects/fastuniq/	present	Main FastUniq paper; open-access PMC copy can be archived locally.
paper.fastq.fastx-toolkit.software-citation	fastx_clipper	fastq.trim_reads	science/docs/upstream/papers/paper.fastq.fastx-toolkit.software-citation	software_citation_only	project_repository	https://github.com/agordon/fastx_toolkit	http://hannonlab.cshl.edu/fastx_toolkit/	present	FASTX-Toolkit currently resolves through source/project-homepage evidence rather than a clearly governed canonical paper; fastx_clipper is treated as a FASTX-Toolkit component rather than a standalone publication.
paper.fastq.flash.magoc-2011	flash2	fastq.merge_pairs	science/docs/upstream/papers/paper.fastq.flash.magoc-2011	mapped	open_access_pmc	https://pmc.ncbi.nlm.nih.gov/articles/PMC3198573/	https://pubmed.ncbi.nlm.nih.gov/21903629/;https://academic.oup.com/bioinformatics/article/27/21/2957/217265	present	Main FLASH paper used for FLASH2 lineage evidence; archive the PMC/Europe PMC PDF and keep the publisher locator.
paper.fastq.fqtools.droop-2016	fqtools	fastq.validate_reads	science/docs/upstream/papers/paper.fastq.fqtools.droop-2016	mapped	open_access_pmc	https://pmc.ncbi.nlm.nih.gov/articles/PMC4908325/	https://academic.oup.com/bioinformatics/article/32/12/1883/1743958;https://github.com/alastair-droop/fqtools	present	Main fqtools paper; archive the PMC/Europe PMC PDF and keep it tied to the source repository packet.
