stage_id	tool_id	stage_status	tool_status	is_default	execution_status	runtime_support	normalization_support	benchmark_support	registry_status	runtimes	container_ref	dockerfile	apptainer_def	evidence_count	claim_ids	decision_id	binding_id
fastq.build_contaminant_db	bijux_dna	governed	disallowed	false	declared_only	declared_only	none	none	production	docker,apptainer	bijuxdna/bijux_dna:workspace	containers/docker/arm64/Dockerfile.bijux_dna	containers/apptainer/shared/bijux_dna.def	5	claim.fastq.execution-surface-authority,claim.fastq.default-settings-authority,claim.fastq.tool-registry-authority,claim.fastq.environment-resolution-authority,claim.fastq.planned-tools-remain-excluded	decision.fastq.environment-tool-surface	binding.fastq.environment-tool-surface
fastq.build_rrna_db	bijux_dna	governed	disallowed	false	declared_only	declared_only	none	none	production	docker,apptainer	bijuxdna/bijux_dna:workspace	containers/docker/arm64/Dockerfile.bijux_dna	containers/apptainer/shared/bijux_dna.def	5	claim.fastq.execution-surface-authority,claim.fastq.default-settings-authority,claim.fastq.tool-registry-authority,claim.fastq.environment-resolution-authority,claim.fastq.planned-tools-remain-excluded	decision.fastq.environment-tool-surface	binding.fastq.environment-tool-surface
fastq.build_taxonomy_db	bijux_dna	governed	disallowed	false	declared_only	declared_only	none	none	production	docker,apptainer	bijuxdna/bijux_dna:workspace	containers/docker/arm64/Dockerfile.bijux_dna	containers/apptainer/shared/bijux_dna.def	5	claim.fastq.execution-surface-authority,claim.fastq.default-settings-authority,claim.fastq.tool-registry-authority,claim.fastq.environment-resolution-authority,claim.fastq.planned-tools-remain-excluded	decision.fastq.environment-tool-surface	binding.fastq.environment-tool-surface
fastq.capture_provenance_snapshot	bijux_dna	governed	disallowed	false	declared_only	declared_only	none	none	production	docker,apptainer	bijuxdna/bijux_dna:workspace	containers/docker/arm64/Dockerfile.bijux_dna	containers/apptainer/shared/bijux_dna.def	5	claim.fastq.execution-surface-authority,claim.fastq.default-settings-authority,claim.fastq.tool-registry-authority,claim.fastq.environment-resolution-authority,claim.fastq.planned-tools-remain-excluded	decision.fastq.environment-tool-surface	binding.fastq.environment-tool-surface
fastq.classify_layout	bijux_dna	governed	disallowed	false	declared_only	declared_only	none	none	production	docker,apptainer	bijuxdna/bijux_dna:workspace	containers/docker/arm64/Dockerfile.bijux_dna	containers/apptainer/shared/bijux_dna.def	5	claim.fastq.execution-surface-authority,claim.fastq.default-settings-authority,claim.fastq.tool-registry-authority,claim.fastq.environment-resolution-authority,claim.fastq.planned-tools-remain-excluded	decision.fastq.environment-tool-surface	binding.fastq.environment-tool-surface
fastq.cluster_otus	vsearch	governed	default	true	closed	runnable	observer_specialized	cohort	production	docker,apptainer	bijuxdna/vsearch@sha256:c16ef98d6fd67ac0b8eea3ebb4f3dc6df9c582d6f838317d5f6ccc7a09e60bb3	containers/docker/arm64/Dockerfile.vsearch	containers/apptainer/shared/vsearch.def	5	claim.fastq.execution-surface-authority,claim.fastq.default-settings-authority,claim.fastq.tool-registry-authority,claim.fastq.environment-resolution-authority,claim.fastq.planned-tools-remain-excluded	decision.fastq.environment-tool-surface	binding.fastq.environment-tool-surface
fastq.concatenate_lanes	bijux_dna	governed	disallowed	false	declared_only	declared_only	none	none	production	docker,apptainer	bijuxdna/bijux_dna:workspace	containers/docker/arm64/Dockerfile.bijux_dna	containers/apptainer/shared/bijux_dna.def	5	claim.fastq.execution-surface-authority,claim.fastq.default-settings-authority,claim.fastq.tool-registry-authority,claim.fastq.environment-resolution-authority,claim.fastq.planned-tools-remain-excluded	decision.fastq.environment-tool-surface	binding.fastq.environment-tool-surface
fastq.correct_errors	rcorrector	governed	default	true	closed	runnable	observer_specialized	cohort	production	docker,apptainer	bijuxdna/rcorrector@sha256:cfec0e32dc980f61681376e78961785c8f74804bd90ebabccb98f825e5fdb454	containers/docker/arm64/Dockerfile.rcorrector	containers/apptainer/shared/rcorrector.def	5	claim.fastq.execution-surface-authority,claim.fastq.default-settings-authority,claim.fastq.tool-registry-authority,claim.fastq.environment-resolution-authority,claim.fastq.planned-tools-remain-excluded	decision.fastq.environment-tool-surface	binding.fastq.environment-tool-surface
fastq.correct_errors	bayeshammer	governed	allowed	false	closed	runnable	observer_specialized	cohort	production	docker,apptainer	bijuxdna/bayeshammer@sha256:99849ca7576f392a125ce5836e915481ada762cbb4fa9b69593b81c4ca359cd7	containers/docker/arm64/Dockerfile.bayeshammer	containers/apptainer/shared/bayeshammer.def	5	claim.fastq.execution-surface-authority,claim.fastq.default-settings-authority,claim.fastq.tool-registry-authority,claim.fastq.environment-resolution-authority,claim.fastq.planned-tools-remain-excluded	decision.fastq.environment-tool-surface	binding.fastq.environment-tool-surface
fastq.correct_errors	lighter	governed	allowed	false	closed	runnable	observer_specialized	cohort	production	docker,apptainer	bijuxdna/lighter@sha256:e65d145062ddedd1e584f7aec7db45c13ddf33f849888e61d6c3b91e89730085	containers/docker/arm64/Dockerfile.lighter	containers/apptainer/shared/lighter.def	5	claim.fastq.execution-surface-authority,claim.fastq.default-settings-authority,claim.fastq.tool-registry-authority,claim.fastq.environment-resolution-authority,claim.fastq.planned-tools-remain-excluded	decision.fastq.environment-tool-surface	binding.fastq.environment-tool-surface
