entity_type	entity_id	layer	expected_status	observed_status	reason
fastq_stage_tool_binding	fastq.correct_errors:rcorrector	closure_gate	world_class_closed	declared_closed_with_gaps	pending_container_digest
fastq_stage_tool_binding	fastq.correct_errors:bayeshammer	closure_gate	world_class_closed	declared_closed_with_gaps	pending_container_digest
fastq_stage_tool_binding	fastq.correct_errors:lighter	closure_gate	world_class_closed	declared_closed_with_gaps	pending_container_digest
fastq_stage_tool_binding	fastq.correct_errors:musket	closure_gate	world_class_closed	declared_closed_with_gaps	pending_container_digest
fastq_stage_tool_binding	fastq.deplete_host:bowtie2	closure_gate	world_class_closed	declared_closed_with_gaps	source_backlog_missing_evidence_map;missing_upstream_archive;missing_paper_root;missing_paper_archive
fastq_stage_tool_binding	fastq.deplete_reference_contaminants:bowtie2	closure_gate	world_class_closed	declared_closed_with_gaps	source_backlog_missing_evidence_map;missing_upstream_archive;missing_paper_root;missing_paper_archive
fastq_stage_tool_binding	fastq.deplete_rrna:sortmerna	closure_gate	world_class_closed	declared_closed_with_gaps	source_backlog_missing_evidence_map;missing_upstream_archive;missing_paper_root;missing_paper_archive
fastq_stage_tool_binding	fastq.extract_umis:umi_tools	closure_gate	world_class_closed	declared_closed_with_gaps	pending_container_digest;missing_upstream_archive
fastq_stage_tool_binding	fastq.filter_low_complexity:dustmasker	closure_gate	world_class_closed	declared_closed_with_gaps	registry_not_production;missing_container_ref;missing_runtime_surface;missing_upstream_archive
fastq_stage_tool_binding	fastq.index_reference:bowtie2_build	closure_gate	world_class_closed	declared_closed_with_gaps	source_backlog_missing_evidence_map;missing_upstream_archive;missing_paper_root;missing_paper_archive
fastq_stage_tool_binding	fastq.index_reference:star	closure_gate	world_class_closed	declared_closed_with_gaps	source_backlog_missing_evidence_map;missing_upstream_archive;missing_paper_root;missing_paper_archive
fastq_stage_tool_binding	fastq.infer_asvs:dada2	closure_gate	world_class_closed	declared_closed_with_gaps	missing_upstream_archive;missing_benchmark_support
fastq_stage_tool_binding	fastq.normalize_abundance:seqfu	closure_gate	world_class_closed	declared_closed_with_gaps	registry_not_production;missing_container_ref;missing_runtime_surface;missing_upstream_archive
fastq_stage_tool_binding	fastq.profile_overrepresented_sequences:fastq_scan	closure_gate	world_class_closed	declared_closed_with_gaps	placeholder_container_digest
fastq_stage_tool_binding	fastq.profile_read_lengths:seqkit_stats	closure_gate	world_class_closed	declared_closed_with_gaps	missing_upstream_archive
fastq_stage_tool_binding	fastq.profile_read_lengths:seqfu	closure_gate	world_class_closed	declared_closed_with_gaps	registry_not_production;missing_container_ref;missing_runtime_surface;missing_upstream_archive
fastq_stage_tool_binding	fastq.profile_reads:seqkit_stats	closure_gate	world_class_closed	declared_closed_with_gaps	missing_upstream_archive
fastq_stage_tool_binding	fastq.remove_chimeras:vsearch	closure_gate	world_class_closed	declared_closed_with_gaps	missing_benchmark_support
fastq_stage_tool_binding	fastq.remove_duplicates:clumpify	closure_gate	world_class_closed	declared_closed_with_gaps	pending_container_digest
fastq_stage_tool_binding	fastq.remove_duplicates:fastuniq	closure_gate	world_class_closed	declared_closed_with_gaps	pending_container_digest
fastq_stage_tool_binding	fastq.screen_taxonomy:kraken2	closure_gate	world_class_closed	declared_closed_with_gaps	pending_container_digest;source_backlog_missing_evidence_map;missing_upstream_archive;missing_paper_root;missing_paper_archive
fastq_stage_tool_binding	fastq.screen_taxonomy:centrifuge	closure_gate	world_class_closed	declared_closed_with_gaps	pending_container_digest;source_backlog_missing_evidence_map;missing_upstream_archive;missing_paper_root;missing_paper_archive
fastq_stage_tool_binding	fastq.screen_taxonomy:diamond	closure_gate	world_class_closed	declared_closed_with_gaps	registry_not_production;missing_container_ref;missing_runtime_surface;missing_upstream_archive
fastq_stage_tool_binding	fastq.screen_taxonomy:kaiju	closure_gate	world_class_closed	declared_closed_with_gaps	pending_container_digest;source_backlog_missing_evidence_map;missing_upstream_archive;missing_paper_root;missing_paper_archive
fastq_stage_tool_binding	fastq.screen_taxonomy:krakenuniq	closure_gate	world_class_closed	declared_closed_with_gaps	source_backlog_missing_evidence_map;missing_upstream_archive;missing_paper_root;missing_paper_archive
fastq_stage_tool_binding	fastq.trim_reads:seqpurge	closure_gate	world_class_closed	declared_closed_with_gaps	registry_not_production;missing_container_ref;missing_runtime_surface;missing_upstream_archive
fastq_stage_tool_binding	fastq.validate_reads:fastqvalidator	closure_gate	world_class_closed	declared_closed_with_gaps	placeholder_container_digest
fastq_stage_tool_binding	fastq.validate_reads:fastq_scan	closure_gate	world_class_closed	declared_closed_with_gaps	placeholder_container_digest
fastq_stage_tool_binding	fastq.validate_reads:fqtools	closure_gate	world_class_closed	declared_closed_with_gaps	placeholder_container_digest
fastq_stage_tool_binding	fastq.validate_reads:seqtk	closure_gate	world_class_closed	declared_closed_with_gaps	placeholder_container_digest
